ano,bairro,roubo_bicicleta,furto_bicicleta,total_crimes
2025,SAÚDE,1,21,22
2025,SENADOR CAMARÁ,4,22,26
2025,SENADOR VASCONCELOS,0,85,85
2025,SEPETIBA,0,20,20
2025,SÃO CONRADO,13,88,101
2025,SÃO FRANCISCO XAVIER,1,18,19
2025,TANQUE,2,35,37
2025,TAQUARA,3,70,73
2025,TAUÁ,2,21,23
2025,TIJUCA,12,95,107
2025,TODOS OS SANTOS,3,25,28
2025,TOMÁS COELHO,0,9,9
2025,URCA,68,201,269
2025,VARGEM GRANDE,3,163,166
2025,VARGEM PEQUENA,3,163,166
2025,VASCO DA GAMA,3,23,26
2025,VAZ LOBO,3,18,21
2025,VICENTE DE CARVALHO,1,24,25
2025,VIDIGAL,13,88,101
2025,VIGÁRIO GERAL,1,5,6
2025,VILA DA PENHA,1,24,25
2025,VILA ISABEL,7,37,44
2025,VILA KOSMOS,1,24,25
2025,VILA MILITAR,6,30,36
2025,VILA VALQUEIRE,1,14,15
2025,VISTA ALEGRE,1,24,25
2025,ZUMBI,2,21,23
2025,ÁGUA SANTA,6,14,20
2026,ABOLIÇÃO,0,1,1
2026,ACARI,0,4,4
2026,ALTO DA BOA VISTA,0,14,14
2026,ANCHIETA,0,0,0
2026,ANDARAÍ,2,3,5
2026,ANIL,1,16,17
2026,BANCÁRIOS,0,4,4
2026,BANGU,1,8,9
2026,BARRA DA TIJUCA,4,28,32
2026,BARRA DE GUARATIBA,0,42,42
2026,BARROS FILHO,0,4,4
2026,BENFICA,0,2,2
2026,BENTO RIBEIRO,0,2,2
2026,BONSUCESSO,0,2,2
2026,BOTAFOGO,3,38,41
2026,BRÁS DE PINA,1,3,4
2026,CACHAMBI,0,3,3
2026,CACUIA,0,4,4
2026,CAJU,1,9,10
2026,CAMORIM,0,42,42
2026,CAMPINHO,0,2,2
2026,CAMPO DOS AFONSOS,0,5,5
2026,CAMPO GRANDE,0,23,23
2026,CASCADURA,0,6,6
2026,CATETE,7,39,46
2026,CATUMBI,0,6,6
2026,CAVALCANTI,0,6,6
2026,CENTRO,10,162,172
2026,CIDADE DE DEUS,1,16,17
2026,CIDADE NOVA,0,6,6
2026,CIDADE UNIVERSITÁRIA,0,4,4
2026,COCOTÁ,0,4,4
2026,COELHO NETO,0,5,5
2026,COLÉGIO,0,11,11
2026,COPACABANA,5,94,99
2026,CORDOVIL,0,1,1
2026,COSME VELHO,7,39,46
2026,COSMOS,0,23,23
2026,COSTA BARROS,0,4,4
2026,CURICICA,1,16,17
2026,DEL CASTILHO,0,3,3
2026,DEODORO,0,5,5
2026,ENCANTADO,0,1,1
2026,ENGENHEIRO LEAL,0,6,6
2026,ENGENHO DA RAINHA,0,3,3
2026,ENGENHO DE DENTRO,0,3,3
2026,ENGENHO NOVO,0,1,1
2026,ESTÁCIO,0,6,6
2026,FLAMENGO,7,39,46
2026,FREGUESIA (JACAREPAGUÁ),1,3,4
2026,GALEÃO,0,4,4
2026,GAMBOA,0,5,5
2026,GARDÊNIA AZUL,1,16,17
2026,GERICINÓ,1,8,9
2026,GLÓRIA,7,39,46
2026,GRAJAÚ,2,3,5
2026,GRUMARI,0,42,42
2026,GUADALUPE,0,0,0
2026,GUARATIBA,1,3,4
2026,GÁVEA,6,25,31
2026,HIGIENÓPOLIS,0,2,2
2026,HONÓRIO GURGEL,0,5,5
2026,HUMAITÁ,3,38,41
2026,INHAÚMA,0,3,3
2026,INHOAÍBA,0,23,23
2026,IPANEMA,8,173,181
2026,IRAJÁ,0,6,6
2026,ITANHANGÁ,4,28,32
2026,JACAREPAGUÁ,1,16,17
2026,JACAREZINHO,0,1,1
2026,JACARÉ,1,8,9
2026,JARDIM AMÉRICA,0,1,1
2026,JARDIM BOTÂNICO,6,25,31
2026,JARDIM CARIOCA,0,4,4
2026,JARDIM GUANABARA,0,4,4
2026,JARDIM SULACAP,0,5,5
2026,JOÁ,4,28,32
2026,LAGOA,6,25,31
2026,LAPA,5,47,52
2026,LARANJEIRAS,7,39,46
2026,LEBLON,8,173,181
2026,LEME,2,52,54
2026,LINS DE VASCONCELOS,0,2,2
2026,MADUREIRA,0,6,6
2026,MAGALHÃES BASTOS,0,5,5
2026,MANGUEIRA,1,9,10
2026,MANGUINHOS,0,2,2
2026,MARACANÃ,0,7,7
2026,MARECHAL HERMES,0,2,2
2026,MARIA DA GRAÇA,0,3,3
2026,MARÉ,0,2,2
2026,MONERÓ,0,4,4
2026,MÉIER,0,3,3
2026,OLARIA,1,2,3
2026,PACIÊNCIA,0,10,10
2026,PADRE MIGUEL,1,8,9
2026,PAQUETÁ,5,47,52
2026,PARQUE ANCHIETA,0,0,0
2026,PARQUE COLÚMBIA,0,4,4
2026,PAVUNA,0,4,4
2026,PECHINCHA,1,3,4
2026,PEDRA DE GUARATIBA,1,3,4
2026,PENHA,1,2,3
2026,PENHA CIRCULAR,1,2,3
2026,PIEDADE,0,1,1
2026,PILARES,0,1,1
2026,PITANGUEIRAS,0,4,4
2026,PORTUGUESA,0,4,4
2026,PRAIA DA BANDEIRA,0,4,4
2026,PRAÇA DA BANDEIRA,0,7,7
2026,PRAÇA SECA,0,5,5
2026,QUINTINO BOCAIÚVA,0,6,6
2026,RAMOS,0,2,2
2026,REALENGO,0,5,5
2026,RECREIO DOS BANDEIRANTES,0,42,42
2026,RIACHUELO,0,1,1
2026,RIBEIRA,0,4,4
2026,RICARDO DE ALBUQUERQUE,0,0,0
2026,RIO COMPRIDO,0,6,6
2026,ROCHA,0,1,1
2026,ROCHA MIRANDA,0,5,5
2026,ROCINHA,0,0,0
2026,SAMPAIO,0,1,1
2026,SANTA CRUZ,0,12,12
2026,SANTA TERESA,1,4,5
2026,SANTO CRISTO,0,5,5
2026,SANTÍSSIMO,0,23,23
2026,SAÚDE,0,5,5
2026,SENADOR CAMARÁ,1,8,9
2026,SENADOR VASCONCELOS,0,23,23
2026,SEPETIBA,1,3,4
2026,SÃO CONRADO,6,25,31
2026,SÃO FRANCISCO XAVIER,0,1,1
2026,TANQUE,1,8,9
2026,TAQUARA,1,16,17
2026,TAUÁ,0,4,4
2026,TIJUCA,0,21,21
2026,TODOS OS SANTOS,0,5,5
2026,TOMÁS COELHO,0,3,3
2026,URCA,3,38,41
2026,VARGEM GRANDE,0,42,42
2026,VARGEM PEQUENA,0,42,42
2026,VASCO DA GAMA,1,9,10
2026,VAZ LOBO,0,6,6
2026,VICENTE DE CARVALHO,0,6,6
2026,VIDIGAL,6,25,31
2026,VIGÁRIO GERAL,0,1,1
2026,VILA DA PENHA,0,6,6
2026,VILA ISABEL,2,3,5
2026,VILA KOSMOS,0,6,6
2026,VILA MILITAR,0,5,5
2026,VILA VALQUEIRE,0,5,5
2026,VISTA ALEGRE,0,6,6
2026,ZUMBI,0,4,4
2026,ÁGUA SANTA,0,3,3
