ano,bairro,roubo_bicicleta,furto_bicicleta,total_crimes
2021,VILA KOSMOS,0,8,8
2021,VILA MILITAR,0,20,20
2021,VILA VALQUEIRE,0,4,4
2021,VISTA ALEGRE,0,8,8
2021,ZUMBI,0,10,10
2021,ÁGUA SANTA,0,14,14
2022,ABOLIÇÃO,5,7,12
2022,ACARI,2,6,8
2022,ALTO DA BOA VISTA,0,69,69
2022,ANCHIETA,0,6,6
2022,ANDARAÍ,2,53,55
2022,ANIL,2,38,40
2022,BANCÁRIOS,1,11,12
2022,BANGU,1,22,23
2022,BARRA DA TIJUCA,3,94,97
2022,BARRA DE GUARATIBA,3,117,120
2022,BARROS FILHO,2,6,8
2022,BENFICA,2,5,7
2022,BENTO RIBEIRO,0,3,3
2022,BONSUCESSO,2,5,7
2022,BOTAFOGO,12,202,214
2022,BRÁS DE PINA,1,8,9
2022,CACHAMBI,1,9,10
2022,CACUIA,1,11,12
2022,CAJU,2,7,9
2022,CAMORIM,3,117,120
2022,CAMPINHO,0,3,3
2022,CAMPO DOS AFONSOS,5,38,43
2022,CAMPO GRANDE,1,37,38
2022,CASCADURA,2,11,13
2022,CATETE,25,128,153
2022,CATUMBI,1,16,17
2022,CAVALCANTI,2,11,13
2022,CENTRO,24,352,376
2022,CIDADE DE DEUS,2,38,40
2022,CIDADE NOVA,1,16,17
2022,CIDADE UNIVERSITÁRIA,1,11,12
2022,COCOTÁ,1,11,12
2022,COELHO NETO,3,5,8
2022,COLÉGIO,3,28,31
2022,COPACABANA,8,314,322
2022,CORDOVIL,1,3,4
2022,COSME VELHO,25,128,153
2022,COSMOS,1,37,38
2022,COSTA BARROS,2,6,8
2022,CURICICA,2,38,40
2022,DEL CASTILHO,0,7,7
2022,DEODORO,5,38,43
2022,ENCANTADO,5,7,12
2022,ENGENHEIRO LEAL,2,11,13
2022,ENGENHO DA RAINHA,0,7,7
2022,ENGENHO DE DENTRO,9,10,19
2022,ENGENHO NOVO,0,2,2
2022,ESTÁCIO,1,16,17
2022,FLAMENGO,25,128,153
2022,FREGUESIA (JACAREPAGUÁ),0,6,6
2022,GALEÃO,1,11,12
2022,GAMBOA,1,13,14
2022,GARDÊNIA AZUL,2,38,40
2022,GERICINÓ,1,22,23
2022,GLÓRIA,25,128,153
2022,GRAJAÚ,2,53,55
2022,GRUMARI,3,117,120
2022,GUADALUPE,0,6,6
2022,GUARATIBA,2,4,6
2022,GÁVEA,2,34,36
2022,HIGIENÓPOLIS,2,5,7
2022,HONÓRIO GURGEL,3,5,8
2022,HUMAITÁ,12,202,214
2022,INHAÚMA,0,7,7
2022,INHOAÍBA,1,37,38
2022,IPANEMA,5,279,284
2022,IRAJÁ,0,23,23
2022,ITANHANGÁ,3,94,97
2022,JACAREPAGUÁ,2,38,40
2022,JACAREZINHO,0,2,2
2022,JACARÉ,0,24,24
2022,JARDIM AMÉRICA,1,3,4
2022,JARDIM BOTÂNICO,2,34,36
2022,JARDIM CARIOCA,1,11,12
2022,JARDIM GUANABARA,1,11,12
2022,JARDIM SULACAP,5,38,43
2022,JOÁ,3,94,97
2022,LAGOA,2,34,36
2022,LAPA,14,121,135
2022,LARANJEIRAS,25,128,153
2022,LEBLON,5,279,284
2022,LEME,6,214,220
2022,LINS DE VASCONCELOS,4,3,7
2022,MADUREIRA,2,11,13
2022,MAGALHÃES BASTOS,5,38,43
2022,MANGUEIRA,2,7,9
2022,MANGUINHOS,2,5,7
2022,MARACANÃ,3,59,62
2022,MARECHAL HERMES,0,3,3
2022,MARIA DA GRAÇA,0,7,7
2022,MARÉ,2,5,7
2022,MONERÓ,1,11,12
2022,MÉIER,1,9,10
2022,OLARIA,0,5,5
2022,PACIÊNCIA,1,12,13
2022,PADRE MIGUEL,1,22,23
2022,PAQUETÁ,14,121,135
2022,PARQUE ANCHIETA,0,6,6
2022,PARQUE COLÚMBIA,2,6,8
2022,PAVUNA,2,6,8
2022,PECHINCHA,0,6,6
2022,PEDRA DE GUARATIBA,2,4,6
2022,PENHA,0,5,5
2022,PENHA CIRCULAR,0,5,5
2022,PIEDADE,5,7,12
2022,PILARES,5,7,12
2022,PITANGUEIRAS,1,11,12
2022,PORTUGUESA,1,11,12
2022,PRAIA DA BANDEIRA,1,11,12
2022,PRAÇA DA BANDEIRA,3,59,62
2022,PRAÇA SECA,0,6,6
2022,QUINTINO BOCAIÚVA,2,11,13
2022,RAMOS,2,5,7
2022,REALENGO,5,38,43
2022,RECREIO DOS BANDEIRANTES,3,117,120
2022,RIACHUELO,0,2,2
2022,RIBEIRA,1,11,12
2022,RICARDO DE ALBUQUERQUE,0,6,6
2022,RIO COMPRIDO,1,16,17
2022,ROCHA,0,2,2
2022,ROCHA MIRANDA,3,5,8
2022,ROCINHA,0,0,0
2022,SAMPAIO,0,2,2
2022,SANTA CRUZ,2,43,45
2022,SANTA TERESA,0,9,9
2022,SANTO CRISTO,1,13,14
2022,SANTÍSSIMO,1,37,38
2022,SAÚDE,1,13,14
2022,SENADOR CAMARÁ,1,22,23
2022,SENADOR VASCONCELOS,1,37,38
2022,SEPETIBA,2,4,6
2022,SÃO CONRADO,2,34,36
2022,SÃO FRANCISCO XAVIER,0,2,2
2022,TANQUE,0,12,12
2022,TAQUARA,2,38,40
2022,TAUÁ,1,11,12
2022,TIJUCA,3,128,131
2022,TODOS OS SANTOS,5,12,17
2022,TOMÁS COELHO,0,7,7
2022,URCA,12,202,214
2022,VARGEM GRANDE,3,117,120
2022,VARGEM PEQUENA,3,117,120
2022,VASCO DA GAMA,2,7,9
2022,VAZ LOBO,2,11,13
2022,VICENTE DE CARVALHO,0,23,23
2022,VIDIGAL,2,34,36
2022,VIGÁRIO GERAL,1,3,4
2022,VILA DA PENHA,0,23,23
2022,VILA ISABEL,2,53,55
2022,VILA KOSMOS,0,23,23
2022,VILA MILITAR,5,38,43
2022,VILA VALQUEIRE,0,6,6
2022,VISTA ALEGRE,0,23,23
2022,ZUMBI,1,11,12
2022,ÁGUA SANTA,9,10,19
2023,ABOLIÇÃO,4,5,9
2023,ACARI,0,11,11
2023,ALTO DA BOA VISTA,11,36,47
2023,ANCHIETA,0,6,6
2023,ANDARAÍ,0,33,33
2023,ANIL,3,31,34
2023,BANCÁRIOS,1,25,26
2023,BANGU,3,35,38
2023,BARRA DA TIJUCA,4,92,96
2023,BARRA DE GUARATIBA,6,106,112
2023,BARROS FILHO,0,11,11
2023,BENFICA,2,16,18
2023,BENTO RIBEIRO,0,8,8
2023,BONSUCESSO,2,16,18
2023,BOTAFOGO,18,176,194
2023,BRÁS DE PINA,1,9,10
2023,CACHAMBI,0,7,7
2023,CACUIA,1,25,26
2023,CAJU,4,6,10
2023,CAMORIM,6,106,112
2023,CAMPINHO,0,8,8
2023,CAMPO DOS AFONSOS,0,38,38
2023,CAMPO GRANDE,1,49,50
2023,CASCADURA,0,14,14
2023,CATETE,27,98,125
2023,CATUMBI,2,18,20
2023,CAVALCANTI,0,14,14
2023,CENTRO,20,422,442
2023,CIDADE DE DEUS,3,31,34
2023,CIDADE NOVA,2,18,20
2023,CIDADE UNIVERSITÁRIA,1,25,26
2023,COCOTÁ,1,25,26
2023,COELHO NETO,0,7,7
2023,COLÉGIO,2,16,18
2023,COPACABANA,18,314,332
2023,CORDOVIL,1,2,3
2023,COSME VELHO,27,98,125
2023,COSMOS,1,49,50
2023,COSTA BARROS,0,11,11
2023,CURICICA,3,31,34
2023,DEL CASTILHO,1,11,12
2023,DEODORO,0,38,38
2023,ENCANTADO,4,5,9
2023,ENGENHEIRO LEAL,0,14,14
2023,ENGENHO DA RAINHA,1,11,12
2023,ENGENHO DE DENTRO,5,8,13
2023,ENGENHO NOVO,0,3,3
2023,ESTÁCIO,2,18,20
2023,FLAMENGO,27,98,125
2023,FREGUESIA (JACAREPAGUÁ),2,17,19
2023,GALEÃO,1,25,26
2023,GAMBOA,1,18,19
2023,GARDÊNIA AZUL,3,31,34
2023,GERICINÓ,3,35,38
2023,GLÓRIA,27,98,125
2023,GRAJAÚ,0,33,33
2023,GRUMARI,6,106,112
