fid,ext,tipo_infra,fluxo_infr,inicio,contabilizar,vias,area_plane,local_infr,final,SHAPE__Length,rp,status,cod_rp,score_infra,cluster_seguranca,score_seguranca_final,safety_score_refinado,safety_score_final_v2
13,0.38147037,FAIXA COMPARTILHADA NA CALÇADA,NÃO IDENTIFICADO,Número 375,Sim,Estrada do Magarça,5,Na calçada,Estrada do Monteiro,381.418252672953,CAMPO GRANDE,IMPLANTADA,5.2,4,1,9.5,9.5,7.6
14,1.4053382,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 3375,Sim,Rua Marechal Marciano,5,No canteiro central,Rua General Gomes de Castro,1405.21112801481,BANGU,IMPLANTADA,5.1,4,2,2.5,3.0,2.4
15,0.34900331,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Rua D,Sim,Rua Santo Evaldo,5,No bordo direito da pista,Número 300,348.972844414003,BANGU,IMPLANTADA,5.1,4,2,2.5,1.0,0.8
16,0.29937208,FAIXA COMPARTILHADA NA CALÇADA,NÃO IDENTIFICADO,Rua General Gomes de Castro,Sim,Rua H. Lapi,5,Na calçada,Rua Santo Evaldo,299.345918033313,BANGU,IMPLANTADA,5.1,4,1,9.5,9.5,7.6
17,0.07116842,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Rua Marechal Marciano,Sim,Rua General Gomes de Castro,5,No bordo direito da pista,Rua Sérgio Cosme Pinheiro de Carvalho,71.1622076156874,BANGU,IMPLANTADA,5.1,4,2,2.5,1.0,0.8
18,1.26365551,CICLOVIA,UNIDIRECIONAL,Número 20,Sim,Avenida Engenheiro Pires Rebelo,5,No bordo esquerdo da pista,Número 1210,1263.53295045573,BANGU,IMPLANTADA,5.1,1,0,6.0,4.5,3.6
19,1.2599518,CICLOVIA,UNIDIRECIONAL,Número 2075,Sim,Avenida Engenheiro Pires Rebelo,5,No bordo esquerdo da pista,Número 17,1259.82953606856,BANGU,IMPLANTADA,5.1,1,0,6.0,4.5,3.6
20,1.62164956,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 50,Sim,Rua Artur Rios,5,No bordo direito da pista,Número 1606,1621.44888191794,CAMPO GRANDE,IMPLANTADA,5.2,4,2,2.5,1.0,0.8
21,0.75436625,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Rua Rio Pardo,Sim,Rua Barão do Rio Verde,5,No bordo esquerdo da pista,Número 1963,754.262344287106,CAMPO GRANDE,IMPLANTADA,5.2,4,2,2.5,1.0,0.8
22,1.00812586,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Próximo ao Viaduto Prefeito Alim Pedro.,Sim,Rua Gramado,5,No bordo direito da pista,Rua Rio Pardo,1007.99014511271,CAMPO GRANDE,IMPLANTADA,5.2,4,2,2.5,1.0,0.8
23,0.58881369,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Oposto ao número 99,Sim,Rua Engenheiro Trindade,5,No bordo direito da pista,Número 455,588.736006796393,CAMPO GRANDE,IMPLANTADA,5.2,4,2,2.5,1.0,0.8
24,1.38725813,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 1220,Sim,Rua da Feira,5,"No canteiro central, No bordo esquerdo da pista",Shopping Bangu,1387.12438350792,BANGU,IMPLANTADA,5.1,4,2,2.5,3.0,2.4
25,0.9143391,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 11,Sim,Avenida de Santa Cruz,5,No bordo direito da pista,Número 12.697,914.229414779166,CAMPO GRANDE,IMPLANTADA,5.2,4,2,2.5,1.0,0.8
26,2.6998676,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 6098 (Sentido Campo Grande),Sim,Avenida de Santa Cruz,5,No bordo direito da pista,Número 11.692,2699.55855717704,CAMPO GRANDE,IMPLANTADA,5.2,4,2,2.5,1.0,0.8
27,0.19943519,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,"Estrada do Encanamento, número 40",Sim,Praça Jaraguari,5,No bordo direito da pista,"Caminho de Tutóia, número 85",199.405254658659,CAMPO GRANDE,IMPLANTADA,5.2,4,2,2.5,1.0,0.8
28,0.12400261,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 335,Sim,Avenida Bacaxá,5,Na calçada,Estrada do Encanamento,123.984222348275,CAMPO GRANDE,IMPLANTADA,5.2,4,2,2.5,2.5,2.0
29,0.88738188,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Rua Capitão Lafay,Sim,Avenida Cesário de Melo,5,No bordo esquerdo da pista,Próximo a Estação BRT Santa Eugênia - Estação Paciência,887.243597483477,SANTA CRUZ,IMPLANTADA,5.3,4,2,2.5,1.0,0.8
30,0.45882063,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 420,Sim,Estrada Visconde de Sinimbu,5,No bordo direito da pista,Rua Itatinga,458.74648881659,SANTA CRUZ,IMPLANTADA,5.3,4,2,2.5,1.0,0.8
31,0.15376397,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,"Rua Guarujá, número 5555",Sim,Rua Soldado Hamilton de Silva e Costa,5,Na calçada,Número 04,153.740100354032,SANTA CRUZ,IMPLANTADA,5.3,4,2,2.5,2.5,2.0
32,2.48840048,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Estrada do Encanamento,Sim,Estrada da Paciência,5,No bordo esquerdo da pista,Próximo ao Viaduto de Paciência,2488.02236555391,CAMPO GRANDE,IMPLANTADA,5.2,4,2,2.5,1.0,0.8
33,1.9389029,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Rua Nelson Pereira dos Santos,Sim,Rua Zélio Valverde,5,No bordo direito da pista,"Avenida Padre Guilherme Decaminada, número 05",1938.56420605207,SANTA CRUZ,IMPLANTADA,5.3,4,2,2.5,1.0,0.8
34,0.24414392,FAIXA COMPARTILHADA NA CALÇADA,NÃO IDENTIFICADO,Número 55,Sim,Rua Ferreira Borges,5,No bordo direito da pista,Número 04,244.112267042616,CAMPO GRANDE,IMPLANTADA,5.2,4,1,9.5,8.0,6.4
35,4.27696207,CICLOVIA,BIDIRECIONAL,Número 192,Sim,Avenida João XXIII,5,No bordo direito da pista,Número 914,4276.17118172413,SANTA CRUZ,IMPLANTADA,5.3,1,2,2.5,1.0,0.8
36,0.49464739,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Avenida Padre Guilherme Decaminada,Sim,Rodovia Governador Mário Covas,5,No bordo direito da pista,Próximo ao Assaí Atacadista,494.562105595061,SANTA CRUZ,IMPLANTADA,5.3,4,2,2.5,1.0,0.8
37,0.07451273,FAIXA COMPARTILHADA NA CALÇADA,UNIDIRECIONAL,Rua Gabriel Bernardes,Sim,Praça Ruão,5,Na calçada,Rua Medeiros e Albuquerque,74.4996690691956,SANTA CRUZ,IMPLANTADA,5.3,4,0,6.0,6.0,4.8
38,0.00460011,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 93,Sim,Rua Guarujá,5,No bordo direito da pista,Número 3355,4.59936522250625,SANTA CRUZ,IMPLANTADA,5.3,4,2,2.5,1.0,0.8
39,3.59024086,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Altura do Viaduto de Inhoaíba,Sim,Rua Campo Grande,5,No bordo direito da pista,Número 1430,3589.74519218568,CAMPO GRANDE,IMPLANTADA,5.2,4,2,2.5,1.0,0.8
40,0.15736598,CICLOFAIXA,NÃO IDENTIFICADO,Rua Francisco Belisário,Sim,Rua Severiano das chagas,5,No meio da pista,Rua Álvaro Alberto,157.338657163181,SANTA CRUZ,IMPLANTADA,5.3,2,1,9.5,8.0,6.4
41,0.26969075,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 366,Sim,Rua Gabriel Bernardes,5,Na calçada,Praça Ruão,269.643662286604,SANTA CRUZ,IMPLANTADA,5.3,4,2,2.5,2.5,2.0
42,0.34902633,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 99,Sim,Rua Francisco Belisário,5,Na calçada,Próximo à Estrada de Urucânia,348.965647662612,SANTA CRUZ,IMPLANTADA,5.3,4,2,2.5,2.5,2.0
43,0.75519537,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Rua Ferreira Borges,Sim,Rua Xavier Marques,5,No bordo direito da pista,Rua Cabiúna,755.098815416512,CAMPO GRANDE,IMPLANTADA,5.2,4,2,2.5,1.0,0.8
44,1.85410584,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 1785,Sim,Estrada da Cachamorra,5,No bordo direito da pista,Rua Olinda Ellis,1853.8694576895,CAMPO GRANDE,IMPLANTADA,5.2,4,2,2.5,1.0,0.8
45,2.17517186,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 492,Sim,Estrada da Cachamorra,5,Na calçada,Número 1785,2174.888957334,CAMPO GRANDE,IMPLANTADA,5.2,4,2,2.5,2.5,2.0
46,1.84952988,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 12 (Sentido Guaratiba),Sim,Estrada da Cachamorra,5,Na calçada,Praça Antônio Goulart,1849.28151772597,GUARATIBA,IMPLANTADA,5.4,4,2,2.5,2.5,2.0
47,0.24462407,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 7250,Sim,Estrada do Mato Alto,5,No bordo esquerdo da pista,Próximo ao número 7398,244.589170095671,GUARATIBA,IMPLANTADA,5.4,4,2,2.5,1.0,0.8
48,1.71399403,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Próximo a Clínica da Família Agenor de Miranda Araújo Neto,Sim,Estrada do Mato Alto,5,No bordo direito da pista,Número 168,1713.75977331172,CAMPO GRANDE,IMPLANTADA,5.2,4,2,2.5,1.0,0.8
49,0.98385403,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Oposto ao número 27705,Sim,Avenida das Américas,5,Na calçada,Número 40038,983.73113019846,GUARATIBA,IMPLANTADA,5.4,4,2,2.5,2.5,2.0
50,0.36730033,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 5440,Sim,Estrada da Pedra,5,Na calçada,Próximo ao Terminal Pingo D'Água 185,367.240546476666,GUARATIBA,IMPLANTADA,5.4,4,2,2.5,2.5,2.0
51,0.40368293,CICLOFAIXA,BIDIRECIONAL,Número 361,Sim,Rua Capitão Lafay,5,Não identificado,Número 21,403.626729124772,CAMPO GRANDE,IMPLANTADA,5.2,2,2,2.5,2.0,1.6
52,0.39505791,FAIXA COMPARTILHADA NA CALÇADA,NÃO IDENTIFICADO,Número 19,Sim,Rua Professor Sousa Moreira,5,Na calçada,Número 61,395.001112494516,CAMPO GRANDE,IMPLANTADA,5.2,4,1,9.5,9.5,7.6
53,0.24913134,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 35,Sim,Rua Álvaro Alberto,5,No bordo direito da pista,Número 388,249.088020297006,SANTA CRUZ,IMPLANTADA,5.3,4,2,2.5,1.0,0.8
54,0.18272757,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Próximo à Avenida Dom João VI,Sim,Estrada da Matriz,5,Na calçada,Número 5.611,182.701068931346,GUARATIBA,IMPLANTADA,5.4,4,2,2.5,2.5,2.0
55,0.19788404,FAIXA COMPARTILHADA NA CALÇADA,UNIDIRECIONAL,Próximo ao número 106,Sim,Estrada da Matriz,5,Na calçada,Próximo à Avenida Dom João VI,197.85529343091,GUARATIBA,IMPLANTADA,5.4,4,0,6.0,6.0,4.8
56,0.15199405,FAIXA COMPARTILHADA NA CALÇADA,UNIDIRECIONAL,Próximo à Avenida Dom João VI,Sim,Estrada da Matriz,5,Na calçada,Próximo ao número 106,151.972107809242,GUARATIBA,IMPLANTADA,5.4,4,0,6.0,6.0,4.8
57,0.2203773,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Número 115,Sim,Rua da Madeira,5,No bordo direito da pista,Número 700,220.338216171847,SANTA CRUZ,IMPLANTADA,5.3,3,0,6.0,4.5,3.6
58,0.22264575,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Número 115,Sim,Rua da Madeira,5,No bordo direito da pista,Número 700,222.606273382716,SANTA CRUZ,IMPLANTADA,5.3,3,0,6.0,4.5,3.6
59,0.52932064,CICLOFAIXA,BIDIRECIONAL,Número 1320,Sim,Praia do Recôncavo,5,No bordo direito da pista,Número 764,529.225472797613,SANTA CRUZ,IMPLANTADA,5.3,2,2,2.5,1.0,0.8
60,0.66077128,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 764,Sim,Praia do Recôncavo,5,Na calçada,Rua da Madeira,660.653418291217,SANTA CRUZ,IMPLANTADA,5.3,4,2,2.5,2.5,2.0
61,0.61212793,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Estrada de Sepetiba,Sim,Praia de Sepetiba,5,No bordo direito da pista,Rua Doutor Ari Chagas,612.015612392238,SANTA CRUZ,IMPLANTADA,5.3,3,0,6.0,4.5,3.6
62,1.35758227,CICLOFAIXA,BIDIRECIONAL,Número 1284,Sim,Praia de Sepetiba,5,No bordo direito da pista,Número 01,1357.3355601609,SANTA CRUZ,IMPLANTADA,5.3,2,2,2.5,1.0,0.8
63,6.27685741,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Oposto ao número 6112,Sim,Estrada do Magarça,5,Na calçada,Número 375,6275.94035021498,GUARATIBA,IMPLANTADA,5.4,4,2,2.5,2.5,2.0
64,1.37806807,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 40,Sim,Estrada do Encanamento,5,No bordo esquerdo da pista,Número 1362,1377.86355823849,CAMPO GRANDE,IMPLANTADA,5.2,4,2,2.5,1.0,0.8
65,4.06210359,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Avenida Cesário de Melo,Sim,Estrada Santa Efigênia,5,No bordo direito da pista,Estrada Visconde de Sinimbu,4061.45931006269,SANTA CRUZ,IMPLANTADA,5.3,4,2,2.5,1.0,0.8
66,5.40313942,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Rua Francisco Belisário,Sim,Estrada de Urucânia,5,Na calçada,Oposto ao número 20,5402.24853032764,SANTA CRUZ,IMPLANTADA,5.3,4,2,2.5,2.5,2.0
67,0.26918635,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Próximo à Rua Lopes de Moura,Sim,Rua Lucindo Passos,5,No bordo direito da pista,Próximo à Rua Felipe Cardoso,269.139295542178,SANTA CRUZ,IMPLANTADA,5.3,4,2,2.5,1.0,0.8
68,0.49603247,CICLOVIA,BIDIRECIONAL,Próximo à Rua do Império,Sim,Rua Senador Camará,5,No bordo esquerdo da pista,Próximo à Rua Capitão Ricardo Kirk,495.94532650625,SANTA CRUZ,IMPLANTADA,5.3,1,2,2.5,1.0,0.8
69,1.70960576,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Estrada da Lama Preta,Sim,Estrada do Guarani,5,No bordo direito da pista,Avenida Brasil,1709.32768365778,SANTA CRUZ,IMPLANTADA,5.3,4,2,2.5,1.0,0.8
70,0.32059918,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Praça Rosária Trotta,Sim,Avenida Cesário de Melo,5,No bordo direito da pista,Próxima à Rua Xavier Marques,320.558607780277,CAMPO GRANDE,IMPLANTADA,5.2,4,2,2.5,1.0,0.8
71,0.51725096,FAIXA COMPARTILHADA NA CALÇADA,NÃO IDENTIFICADO,Número 06,Sim,Rua Felipe Cardoso,5,No canteiro central,Rua Lucindo Passos,517.16062854287,SANTA CRUZ,IMPLANTADA,5.3,4,1,9.5,10.0,8.0
72,3.77861948,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Rua Tamboril,Sim,Rua Cel. Tamarindo,5,No bordo direito da pista,Próximo ao Viaduto de Bangu,3778.26200616308,BANGU,IMPLANTADA,5.1,4,2,2.5,1.0,0.8
73,0.03772434,FAIXA COMPARTILHADA NA CALÇADA,NÃO IDENTIFICADO,Avenida Dom João VI,Sim,Rua dos Bombeiros,5,Não identificado,Avenida Dom João VI,37.7182219092395,GUARATIBA,IMPLANTADA,5.4,4,1,9.5,9.0,7.2
74,0.72029296,CICLOFAIXA,BIDIRECIONAL,Rua João Bruno Lobo,Sim,Rua Iperó,4,No bordo esquerdo da pista,Rua André Rocha,720.24908821513,JACAREPAGUÁ,IMPLANTADA,4.1,2,2,2.5,1.0,1.0
75,0.62858305,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Rua Pedro Téles,Sim,Rua Capitão Machado,4,No bordo direito da pista,Rua A,628.555503128462,JACAREPAGUÁ,IMPLANTADA,4.1,3,0,6.0,4.5,4.5
76,0.44483534,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Rua Francisco Abreu Ferro,Sim,Rua Doutor Bernardino,4,No bordo direito da pista,Rua Japurá,444.815882641088,JACAREPAGUÁ,IMPLANTADA,4.1,3,0,6.0,4.5,4.5
77,0.7442461,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Travessa Antônina,Sim,Rua Capitão Menezes,4,No bordo direito da pista,Rua Cândido Benício,744.213436161086,JACAREPAGUÁ,IMPLANTADA,4.1,3,0,6.0,4.5,4.5
78,1.43924203,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Estrada do Engenho Velho,Sim,Estrada da Meringuava,4,Na calçada,Praça Professora Nídea Otero,1439.15246831361,JACAREPAGUÁ,IMPLANTADA,4.1,4,2,2.5,2.5,2.5
79,0.92054084,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 831,Sim,Estrada de Mapuá,4,Na calçada,Estrada Rodrigues Caldas,920.484415037344,JACAREPAGUÁ,IMPLANTADA,4.1,4,2,2.5,2.5,2.5
80,1.39594733,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Rua Núcleo Rodrigues Caldas,Sim,Avenida Sampaio Corrêa,4,Na calçada,Próximo a Travessa 136,1395.85842633216,JACAREPAGUÁ,IMPLANTADA,4.1,4,2,2.5,2.5,2.5
81,2.93037203,CICLOVIA,UNIDIRECIONAL,Rodovia Presidente Dutra,Sim,Rua Ministro Artur Costa,3,Na calçada,Rua Otávio Mangabeira,2930.26964962366,PENHA,IMPLANTADA,3.5,1,0,6.0,6.0,6.0
82,1.41168967,CICLOFAIXA,NÃO IDENTIFICADO,Número 13,Sim,Avenida Prefeito Sá Lessa,3,No bordo direito da pista,Número 473,1411.62114861045,PAVUNA,IMPLANTADA,3.6,2,1,9.5,8.0,8.0
83,0.73909661,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Estrada do Rio Grande,Sim,Estrada da Soca,4,Na calçada,Número 670,739.050996017743,JACAREPAGUÁ,IMPLANTADA,4.1,4,2,2.5,2.5,2.5
84,0.67647326,FAIXA COMPARTILHADA NA PISTA,BIDIRECIONAL,Número 651,Sim,Rua Pedro Téles,4,No bordo esquerdo da pista,Número 61,676.442726562963,JACAREPAGUÁ,IMPLANTADA,4.1,3,2,2.5,1.0,1.0
85,0.44338803,FAIXA COMPARTILHADA NA CALÇADA,UNIDIRECIONAL,Rua Pinto Teles,Sim,Rua Maricá,4,Na calçada,Rua Capitão Menezes,443.368326869743,JACAREPAGUÁ,IMPLANTADA,4.1,4,0,6.0,6.0,6.0
86,0.77397895,FAIXA COMPARTILHADA NA PISTA,BIDIRECIONAL,Número 44,Sim,Rua Baronesa,4,Na calçada,Número 764,773.94240589555,JACAREPAGUÁ,IMPLANTADA,4.1,3,2,2.5,2.5,2.5
87,1.65691401,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Rua Francisco,Sim,Rua Luiz Beltrão,4,Na calçada,Avenida Jambeiro,1656.82932910875,JACAREPAGUÁ,IMPLANTADA,4.1,4,2,2.5,2.5,2.5
88,0.1880897,FAIXA COMPARTILHADA NA PISTA,NÃO IDENTIFICADO,Rua Rodolfo Portugal Milward,Sim,Rua Soldado Bruno Estrifica,4,Não identificado,Rua João Bruno Lobo,188.07815965219,JACAREPAGUÁ,IMPLANTADA,4.1,3,1,9.5,9.0,9.0
89,0.2605357,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Rua Cambaúba,Sim,Estrada do Galeão,3,Na calçada,Rua Haroldo Lobo,260.540309868097,ILHA DO GOVERNADOR,IMPLANTADA,3.7,4,2,2.5,2.5,2.5
90,0.51523761,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Rua Cambaúba,Sim,Estrada do Galeão,3,No bordo direito da pista,Rua Luís Belart,515.24627139547,ILHA DO GOVERNADOR,IMPLANTADA,3.7,3,0,6.0,4.5,4.5
91,1.06623499,CICLOFAIXA,BIDIRECIONAL,Rua Iperó,Sim,Rua João Bruno Lobo,4,No bordo direito da pista,Praça do Bandolim,1066.17046029178,JACAREPAGUÁ,IMPLANTADA,4.1,2,2,2.5,1.0,1.0
92,0.45629689,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Rua João Bruno Lobo,Sim,Rua Delfos,4,No bordo direito da pista,Rua Hércules,456.268935631228,JACAREPAGUÁ,IMPLANTADA,4.1,3,0,6.0,4.5,4.5
93,0.3022464,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Estrada do Encanamento,Sim,Estrada da Paciência,5,No bordo esquerdo da pista,Próximo ao Viaduto de Paciência,302.199342816697,SANTA CRUZ,IMPLANTADA,5.3,4,2,2.5,1.0,0.8
94,0.01707113,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,"Rua Guarujá, número 5555",Sim,Rua Soldado Hamilton de Silva e Costa,5,Na calçada,Número 04,17.0683795210349,CAMPO GRANDE,IMPLANTADA,5.2,4,2,2.5,2.5,2.0
95,0.58166767,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Rua da Reverência,Sim,Rua Rodolfo Portugal Milward,4,"No bordo direito da pista, No bordo esquerdo da pista",Rua Soldado Bruno Estrífica,581.63118919882,JACAREPAGUÁ,IMPLANTADA,4.1,3,3,7.5,6.0,6.0
96,1.21026454,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Rua Soares Caldeira,Sim,Rua do Parque Madureira,3,Na calçada,Rua Menezes Brum,1210.2125628499,MADUREIRA,IMPLANTADA,3.3,4,2,2.5,2.5,2.5
97,0.20863139,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Rua Menezes Brum,Sim,Rua do Parque Madureira,3,Na calçada,Rua Laura Brandão,208.620847246984,PAVUNA,IMPLANTADA,3.6,4,2,2.5,2.5,2.5
98,2.36655492,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Rua Soares Caldeira,Sim,Rua do Parque Madureira,3,Na calçada,Rua Menezes Brum,2366.44322260877,MADUREIRA,IMPLANTADA,3.3,4,2,2.5,2.5,2.5
99,0.2600435,FAIXA COMPARTILHADA NA CALÇADA,NÃO IDENTIFICADO,Número 10,Sim,Avenida Geneneral Oswaldo Cordeiro de Farias,3,No canteiro central,Número 132,260.029119732955,MADUREIRA,IMPLANTADA,3.3,4,1,9.5,10.0,10.0
100,0.25344938,CICLOVIA,NÃO IDENTIFICADO,Em torno da Praça,Sim,Praça Quinze de Novembro,3,No bordo esquerdo da pista,Em torno da Praça,253.435280911303,MADUREIRA,IMPLANTADA,3.3,1,1,9.5,8.0,8.0
101,0.1579405,FAIXA COMPARTILHADA NA CALÇADA,NÃO IDENTIFICADO,Número 300,Sim,Avenida Geneneral Oswaldo Cordeiro de Farias,3,No canteiro central,Número 418,157.931588887515,MADUREIRA,IMPLANTADA,3.3,4,1,9.5,10.0,10.0
102,0.19336668,CICLOFAIXA,BIDIRECIONAL,Número 3111 - Pista lateral,Sim,Avenida Horácio Macedo,3,No bordo direito da pista,Rua Milton Santos,193.367936206614,ILHA DO GOVERNADOR,IMPLANTADA,3.7,2,2,2.5,1.0,1.0
103,0.54700848,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 187,Sim,Avenida Johann Strauss,3,Na calçada,Número 250,546.977892739823,MADUREIRA,IMPLANTADA,3.3,4,2,2.5,2.5,2.5
104,0.46089351,CICLOVIA,BIDIRECIONAL,Avenida Johann Strauss,Sim,Rua Saravatá,3,No bordo esquerdo da pista,Número 83,460.868020313338,MADUREIRA,IMPLANTADA,3.3,1,2,2.5,1.0,1.0
105,0.18289696,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 83,Sim,Rua Saravatá,3,Na calçada,Rua Carolina Machado,182.886929938021,MADUREIRA,IMPLANTADA,3.3,4,2,2.5,2.5,2.5
106,0.64828815,CICLOVIA,BIDIRECIONAL,Rua Carolina Machado,Sim,Rua Saravatá,3,No bordo esquerdo da pista,Avenida Johann Strauss,648.25245999442,MADUREIRA,IMPLANTADA,3.3,1,2,2.5,1.0,1.0
107,0.62732324,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Rua A,Sim,Rua Capitão Machado,4,No bordo direito da pista,Rua Pedro Téles,627.295718940444,JACAREPAGUÁ,IMPLANTADA,4.1,3,0,6.0,4.5,4.5
108,0.58437368,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Rua Pedro Téles,Sim,Rua Capitão Menezes,4,No bordo direito da pista,Travessa Antônina,584.348168676472,JACAREPAGUÁ,IMPLANTADA,4.1,3,0,6.0,4.5,4.5
109,0.04050651,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Rua Maricá,Sim,Rua Capitão Menezes,4,Na calçada,Rua Pedro Téles,40.504640771398,JACAREPAGUÁ,IMPLANTADA,4.1,4,2,2.5,2.5,2.5
110,0.07494172,FAIXA COMPARTILHADA NA PISTA,BIDIRECIONAL,Rua Ana Teles,Sim,Rua Maricá,3,No bordo esquerdo da pista,Rua Pinto Teles,74.938396991494,MADUREIRA,IMPLANTADA,3.3,3,2,2.5,1.0,1.0
111,0.21117626,FAIXA COMPARTILHADA NA PISTA,UNIDIRECIONAL,Rua Japurá,Sim,Rua Doutor Bernardino,4,No bordo direito da pista,Rua Pedro Téles,211.166777144441,JACAREPAGUÁ,IMPLANTADA,4.1,3,0,6.0,4.5,4.5
112,0.1583336,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Número 187,Sim,Rua Boa Vista,4,Na calçada,Avenida Teixeira Brandão,158.323330706476,JACAREPAGUÁ,IMPLANTADA,4.1,4,2,2.5,2.5,2.5
113,0.31978975,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Avenida Adauto Botelho,Sim,Avenida Teixeira Brandão,4,Na calçada,Rua Boa Vista,319.768768527175,JACAREPAGUÁ,IMPLANTADA,4.1,4,2,2.5,2.5,2.5
114,0.33891161,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Rua Dantes de Palmares,Sim,Avenida Adauto Botelho,4,Na calçada,Estrada Rodrigues Caldas,338.889630352489,JACAREPAGUÁ,IMPLANTADA,4.1,4,2,2.5,2.5,2.5
115,1.45053974,FAIXA COMPARTILHADA NA CALÇADA,BIDIRECIONAL,Avenida Teixeira Brandão,Sim,Avenida Adauto Botelho,4,Na calçada,Rua Dantes de Palmares,1450.44521173476,JACAREPAGUÁ,IMPLANTADA,4.1,4,2,2.5,2.5,2.5
