infra_tipo,infra_fluxo,vias,inicio,final,bairro,extensao_metros,area_planejamento,score_c,score_d,peso_v,peso_h,safety_score_final_v2,risco_infraestrutura,score_risco,categoria_seguranca,cor
Faixa compartilhada na calçada,Bidirecional,RUA DO PARQUE MADUREIRA,Rua Soares Caldeira,Rua Menezes Brum,MADUREIRA,"2366,44322260877",3,"28,8","92,0","1,0","1,0","2,5","8,5","129,3",Alta segurança,verde
Faixa compartilhada na calçada,Não identificado,AVENIDA GENENERAL OSWALDO CORDEIRO DE FARIAS,Número 10,Número 132,MADUREIRA,"260,029119732955",3,"28,8","92,0","1,2","2,0","10,0","1,0","290,9",Alta segurança,verde
Ciclovia,Não identificado,PRAÇA QUINZE DE NOVEMBRO,Em torno da Praça,Em torno da Praça,MADUREIRA,"253,435280911303",3,"28,8","92,0","1,0","1,0","8,0","3,0","123,8",Alta segurança,verde
Faixa compartilhada na calçada,Não identificado,AVENIDA GENENERAL OSWALDO CORDEIRO DE FARIAS,Número 300,Número 418,MADUREIRA,"157,931588887515",3,"28,8","92,0","1,2","2,0","10,0","1,0","290,9",Alta segurança,verde
Ciclofaixa,Bidirecional,AVENIDA HORÁCIO MACEDO,Número 3111 - Pista lateral,Rua Milton Santos,ILHA DO GOVERNADOR,"193,367936206614",3,"0,0","0,0","1,0","1,0","1,0","10,0","4,0",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,AVENIDA JOHANN STRAUSS,Número 187,Número 250,MADUREIRA,"546,977892739823",3,"28,8","92,0","1,0","1,0","2,5","8,5","129,3",Alta segurança,verde
Ciclovia,Bidirecional,RUA SARAVATÁ,Avenida Johann Strauss,Número 83,MADUREIRA,"460,868020313338",3,"28,8","92,0","1,0","1,0","1,0","10,0","130,8",Alta segurança,verde
Faixa compartilhada na calçada,Bidirecional,RUA SARAVATÁ,Número 83,Rua Carolina Machado,MADUREIRA,"182,886929938021",3,"28,8","92,0","1,0","1,0","1,0","10,0","130,8",Alta segurança,verde
Ciclovia,Bidirecional,RUA SARAVATÁ,Rua Carolina Machado,Avenida Johann Strauss,MADUREIRA,"648,25245999442",3,"28,8","92,0","1,0","1,0","1,0","10,0","130,8",Alta segurança,verde
Faixa compartilhada na pista,"Unidirecional, no fluxo dos automóveis",RUA CAPITÃO MACHADO,Rua A,Rua Pedro Téles,JACAREPAGUÁ,"627,295718940444",4,"96,8","61,0","1,0","1,0","4,5","6,5","164,3",Alta segurança,verde
