logradouro,bairro,hierarquia,velocidade_maxima,peso_h,peso_v
RUA GOLFO PÉRSICO,SANTA CRUZ,Local,20,1,"1,0"
RUA GOMES RIBEIRO,SANTA CRUZ,Local,30,1,"1,0"
RUA GUARANTA,SANTA CRUZ,Coletora,40,2,"1,2"
RUA GÉSIO AMADEU,SANTA CRUZ,Local,30,1,"1,0"
RUA H,SANTA CRUZ,Coletora,30,2,"1,0"
RUA HELI MENEGALE,SANTA CRUZ,Local,30,1,"1,0"
RUA HELIA NACIF XAVIER,SANTA CRUZ,Local,30,1,"1,0"
RUA HELZA CAMEU,SANTA CRUZ,Local,30,1,"1,0"
RUA HENRIQUETA,SANTA CRUZ,Local,30,1,"1,0"
RUA HERCULANO VIEIRA,SANTA CRUZ,Local,30,1,"1,0"
RUA HERMES DA SILVA,SANTA CRUZ,Coletora,40,2,"1,2"
RUA HORTO,SANTA CRUZ,Local,30,1,"1,0"
RUA HORTO FLORESTAL,SANTA CRUZ,Local,30,1,"1,0"
RUA HORTÊNCIA,SANTA CRUZ,Local,30,1,"1,0"
RUA HUMBERTO MAURO,SANTA CRUZ,Local,30,1,"1,0"
RUA I,SANTA CRUZ,Local,30,1,"1,0"
RUA IBICOARA - PAL 10218,SANTA CRUZ,Local,30,1,"1,0"
RUA IBIRAREMA,SANTA CRUZ,Local,30,1,"1,0"
RUA IDALINA DA SILVA,SANTA CRUZ,Local,30,1,"1,0"
RUA INDUSTRIAL,SANTA CRUZ,Local,30,1,"1,0"
RUA INÁCIO MONAC MARTINEZ,SANTA CRUZ,Local,30,1,"1,0"
RUA IPANEMA,SANTA CRUZ,Local,30,1,"1,0"
RUA IPAUMIRIM,SANTA CRUZ,Local,30,1,"1,0"
RUA IRINEU PAIVA SODRE,SANTA CRUZ,Local,30,1,"1,0"
RUA ISABEL,SANTA CRUZ,Local,30,1,"1,0"
RUA ISABEL RIBEIRO,SANTA CRUZ,Local,30,1,"1,0"
RUA ISMAEL NETO,SANTA CRUZ,Local,30,1,"1,0"
RUA ITAMURIM,SANTA CRUZ,Local,30,1,"1,0"
RUA ITAOCARA TRÊS PONTES,SANTA CRUZ,Local,30,1,"1,0"
RUA ITATINGA,SANTA CRUZ,Local,30,1,"1,0"
RUA ITUIUTABA,SANTA CRUZ,Local,30,1,"1,0"
RUA IVAN VILLON,SANTA CRUZ,Local,30,1,"1,0"
RUA J,SANTA CRUZ,Local,30,1,"1,0"
RUA JACINTO DIAS,SANTA CRUZ,Local,30,1,"1,0"
RUA JACINTO PAIVA,SANTA CRUZ,Local,30,1,"1,0"
RUA JACOB BITENCOURT,SANTA CRUZ,Local,30,1,"1,0"
RUA JACUIPE,SANTA CRUZ,Local,30,1,"1,0"
RUA JAIR DOS REIS,SANTA CRUZ,Local,30,1,"1,0"
RUA JAIR FERREIRA DA CUNHA,SANTA CRUZ,Local,30,1,"1,0"
RUA JAYME LAMEIRA,SANTA CRUZ,Local,30,1,"1,0"
RUA JAÚ,SANTA CRUZ,Local,30,1,"1,0"
RUA JESUS CHEDIAK,SANTA CRUZ,Local,30,1,"1,0"
RUA JOAQUIM DA CUNHA MACEDO,SANTA CRUZ,Local,30,1,"1,0"
RUA JOAQUIM MAGNO C. JUNIOR,SANTA CRUZ,Local,30,1,"1,0"
RUA JOAQUINA DE JESUS PAIVA,SANTA CRUZ,Local,30,1,"1,0"
RUA JOEL BARCELLOS,SANTA CRUZ,Local,30,1,"1,0"
RUA JORGE BORDALO VALENTE,SANTA CRUZ,Local,30,1,"1,0"
RUA JORGE CARNEIRO DA SILVA,SANTA CRUZ,Local,30,1,"1,0"
RUA JORGE CLÁUDIO FRANCO,SANTA CRUZ,Local,30,1,"1,0"
RUA JORGE DA MATA PAES,SANTA CRUZ,Local,30,1,"1,0"
RUA JORGE LUIZ DOMINGOS,SANTA CRUZ,Local,30,1,"1,0"
RUA JORGE MONCORES,SANTA CRUZ,Local,30,1,"1,0"
RUA JOSE CARLOS DA SILVA,SANTA CRUZ,Local,30,1,"1,0"
RUA JOSE CARLOS MATTA MACHADO,SANTA CRUZ,Local,30,1,"1,0"
RUA JOSE CAXIAS DE LIMA,SANTA CRUZ,Local,30,1,"1,0"
RUA JOSE DE MENEZES,SANTA CRUZ,Local,30,1,"1,0"
RUA JOSE FELIPE DA SILVA,SANTA CRUZ,Local,30,1,"1,0"
RUA JOSE PEDRO COLAT,SANTA CRUZ,Local,30,1,"1,0"
RUA JOSE PEDRO DOS SANTOS,SANTA CRUZ,Local,30,1,"1,0"
RUA JOSE RAMOS DA SILVA,SANTA CRUZ,Local,30,1,"1,0"
RUA JOSE VIDAL DA COSTA,SANTA CRUZ,Local,30,1,"1,0"
RUA JOSUÉ DA SILVA PINHEIRO,SANTA CRUZ,Local,30,1,"1,0"
RUA JOSÉ CARLOS AZAMBUJA,SANTA CRUZ,Local,30,1,"1,0"
RUA JOSÉ FELIPE DE SOUZA,SANTA CRUZ,Local,30,1,"1,0"
RUA JOSÉ HUGO DE JESUS,SANTA CRUZ,Local,30,1,"1,0"
RUA JOSÉ REINALDO,SANTA CRUZ,Local,30,1,"1,0"
RUA JOSÉ ROBERTO,SANTA CRUZ,Local,30,1,"1,0"
RUA JOSÉ TEIXEIRA LOBO,SANTA CRUZ,Local,30,1,"1,0"
RUA JOVINO ALVES DE AZEVEDO,SANTA CRUZ,Local,30,1,"1,0"
RUA JOÃO ALBERTO,SANTA CRUZ,Local,30,1,"1,0"
RUA JOÃO BANDEIRA DE MELLO,SANTA CRUZ,Local,30,1,"1,0"
RUA JOÃO COELHO NETO,SANTA CRUZ,Local,30,1,"1,0"
RUA JOÃO CRISTIANO BATISTA,SANTA CRUZ,Local,30,1,"1,0"
RUA JOÃO DAS NEVES,SANTA CRUZ,Local,30,1,"1,0"
RUA JOÃO DE CAMPOS MAIA,SANTA CRUZ,Local,30,1,"1,0"
RUA JOÃO DE MACEDO,SANTA CRUZ,Local,30,1,"1,0"
RUA JOÃO JOSE RICHA,SANTA CRUZ,Local,20,1,"1,0"
RUA JOÃO JOSÉ RICHA,SANTA CRUZ,Local,20,1,"1,0"
RUA JOÃO MARTINS DO NASCIMENTO,SANTA CRUZ,Local,30,1,"1,0"
RUA JOÃO NEVES,SANTA CRUZ,Local,30,1,"1,0"
RUA JOÃO PAULO MEDEIROS,SANTA CRUZ,Local,30,1,"1,0"
RUA JOÃO PEDRO DE ALCANTARA,SANTA CRUZ,Local,30,1,"1,0"
RUA JOÃO RAMOS,SANTA CRUZ,Local,30,1,"1,0"
RUA JOÃO SALDANHA,SANTA CRUZ,Local,30,1,"1,0"
RUA JOÃO TAVARES DO AMARAL,SANTA CRUZ,Local,30,1,"1,0"
RUA JUIZ DE FORA,SANTA CRUZ,Local,30,1,"1,0"
RUA JULIETA CESAR,SANTA CRUZ,Local,20,1,"1,0"
RUA JULIO BARROSO,SANTA CRUZ,Local,30,1,"1,0"
RUA JULIO JOSE DA SILVA,SANTA CRUZ,Local,30,1,"1,0"
RUA JULIO JOSE FERREIRA,SANTA CRUZ,Local,30,1,"1,0"
RUA JULIÃO OLIVEIRA,SANTA CRUZ,Local,30,1,"1,0"
RUA JUPIARA,SANTA CRUZ,Local,30,1,"1,0"
RUA JURANDYR NORONHA,SANTA CRUZ,Local,30,1,"1,0"
RUA JUSTINO DE ASSIS,SANTA CRUZ,Local,30,1,"1,0"
RUA L,SANTA CRUZ,Local,30,1,"1,0"
RUA LA PAZ TRÊS PONTES,SANTA CRUZ,Local,30,1,"1,0"
RUA LAÉRCIO PELLEGRINO,SANTA CRUZ,Local,30,1,"1,0"
RUA LEANDRO MADURO,SANTA CRUZ,Local,30,1,"1,0"
RUA LEMOS,SANTA CRUZ,Local,40,1,"1,2"
RUA LEOPOLDINA,SANTA CRUZ,Local,30,1,"1,0"
RUA LEOPOLDO SERRAN,SANTA CRUZ,Local,30,1,"1,0"
RUA LETRA VIVA,SANTA CRUZ,Local,30,1,"1,0"
RUA LINCOLN BICALHO ROQUE,SANTA CRUZ,Local,30,1,"1,0"
RUA LINDOLFO MENDES BARBOSA,SANTA CRUZ,Local,30,1,"1,0"
RUA LOPES DE MOURA,SANTA CRUZ,Coletora,40,2,"1,2"
RUA LOURIVAL DOS SANTOS,SANTA CRUZ,Local,30,1,"1,0"
RUA LUCI,SANTA CRUZ,Local,30,1,"1,0"
RUA LUCIANO BÉRIO,SANTA CRUZ,Local,30,1,"1,0"
RUA LUCINDO PASSOS,SANTA CRUZ,Coletora,50,2,"1,5"
RUA LUDOVICO,SANTA CRUZ,Local,30,1,"1,0"
RUA LUIS EDGAR DE ANDRADE,SANTA CRUZ,Local,30,1,"1,0"
RUA LUIZ CARLOS MACIEL,SANTA CRUZ,Local,30,1,"1,0"
RUA LUIZ EDUARDO DA ROCHA MERLINO,SANTA CRUZ,Local,30,1,"1,0"
RUA LUIZ GARCIA,SANTA CRUZ,Local,30,1,"1,0"
RUA LUIZ GUILHERME SODRÉ TEIXEIRA,SANTA CRUZ,Local,30,1,"1,0"
RUA LUIZ VIEIRA,SANTA CRUZ,Local,30,1,"1,0"
RUA LÍRIO COELHO,SANTA CRUZ,Local,30,1,"1,0"
RUA LÚCIO PETIT,SANTA CRUZ,Local,30,1,"1,0"
RUA M,SANTA CRUZ,Local,30,1,"1,0"
RUA MACAPÁ,SANTA CRUZ,Local,30,1,"1,0"
RUA MAESTRO GONÇALVES,SANTA CRUZ,Local,30,1,"1,0"
RUA MAJURI,SANTA CRUZ,Local,30,1,"1,0"
RUA MALTRUDES DA CÂMARA,SANTA CRUZ,Local,30,1,"1,0"
RUA MANFREDO COLASSANTI,SANTA CRUZ,Local,30,1,"1,0"
RUA MANIMBU,SANTA CRUZ,Local,30,1,"1,0"
RUA MANIVA,SANTA CRUZ,Local,30,1,"1,0"
RUA MANOEL,SANTA CRUZ,Local,30,1,"1,0"
RUA MANOEL CORDEIRO,SANTA CRUZ,Local,30,1,"1,0"
RUA MANOEL JULIO,SANTA CRUZ,Local,30,1,"1,0"
RUA MANOEL LESSA BELTRÃO,SANTA CRUZ,Local,30,1,"1,0"
RUA MANOEL LOURENCO DOS SANTOS,SANTA CRUZ,Local,30,1,"1,0"
RUA MARCELINO RODRIGUES MENEZES,SANTA CRUZ,Local,30,1,"1,0"
RUA MARCOLINA,SANTA CRUZ,Local,30,1,"1,0"
RUA MARCOS ANTONIO DA SILVA LIMA,SANTA CRUZ,Local,30,1,"1,0"
RUA MARCOS DE CASTRO,SANTA CRUZ,Local,30,1,"1,0"
RUA MARECHAL GALDINO,SANTA CRUZ,Local,30,1,"1,0"
RUA MARGEM DO ITÁ,SANTA CRUZ,Local,30,1,"1,0"
RUA MARGON CASOTTI,SANTA CRUZ,Local,30,1,"1,0"
RUA MARIA,SANTA CRUZ,Local,30,1,"1,0"
RUA MARIA ALICE SABOYA,SANTA CRUZ,Local,30,1,"1,0"
RUA MARIA ALICE VERGUEIRO,SANTA CRUZ,Local,30,1,"1,0"
RUA MARIA AUGUSTA RIBEIRO,SANTA CRUZ,Local,30,1,"1,0"
RUA MARIA CALLAS,SANTA CRUZ,Local,30,1,"1,0"
RUA MARIA DA GLÓRIA SANTOS,SANTA CRUZ,Local,30,1,"1,0"
RUA MARIA DAS GRAÇAS PINHEIRO,SANTA CRUZ,Local,30,1,"1,0"
RUA MARIA DO CARMO,SANTA CRUZ,Local,30,1,"1,0"
RUA MARIA DOS ANJOS RODRIGUES,SANTA CRUZ,Local,30,1,"1,0"
RUA MARIA JOSE DE BARCELOS,SANTA CRUZ,Local,30,1,"1,0"
RUA MARIA LOROSA,SANTA CRUZ,Local,30,1,"1,0"
RUA MARIA LÚCIA LEPECKI,SANTA CRUZ,Local,30,1,"1,0"
RUA MARIA MARTA DOS SANTOS,SANTA CRUZ,Local,20,1,"1,0"
RUA MARIA NUNES,SANTA CRUZ,Local,30,1,"1,0"
RUA MARIA PASSOS,SANTA CRUZ,Local,20,1,"1,0"
RUA MARIADE LOURDES NASCIMENTO,SANTA CRUZ,Local,30,1,"1,0"
RUA MARIANO DE MELLO,SANTA CRUZ,Local,30,1,"1,0"
RUA MARILENA RAMOS BARBOZA,SANTA CRUZ,Local,30,1,"1,0"
RUA MARINHO,SANTA CRUZ,Local,30,1,"1,0"
RUA MARLON BRANDO,SANTA CRUZ,Local,30,1,"1,0"
RUA MARQUESA FERREIRA,SANTA CRUZ,Local,30,1,"1,0"
RUA MARQUÊS,SANTA CRUZ,Local,30,1,"1,0"
RUA MARQUÊS DE BARBACENA,SANTA CRUZ,Coletora,40,2,"1,2"
RUA MARQUÊS DE MARICÁ,SANTA CRUZ,Coletora,40,2,"1,2"
RUA MARTIM FRANCISCO,SANTA CRUZ,Coletora,30,2,"1,0"
RUA MARTINHO DE CAMPOS,SANTA CRUZ,Local,40,1,"1,2"
RUA MARTINS,SANTA CRUZ,Local,30,1,"1,0"
RUA MARÍLIA BATISTA,SANTA CRUZ,Local,30,1,"1,0"
RUA MASSAPÊ,SANTA CRUZ,Local,30,1,"1,0"
RUA MATEUS,SANTA CRUZ,Local,30,1,"1,0"
RUA MAURICIO CALDEIRA DE ALVARENGA,SANTA CRUZ,Local,30,1,"1,0"
RUA MAURO FREITAS,SANTA CRUZ,Local,30,1,"1,0"
RUA MAURÍCIO NAOTO,SANTA CRUZ,Local,30,1,"1,0"
RUA MEDEIROS E ALBUQUERQUE,SANTA CRUZ,Coletora,40,2,"1,2"
RUA MELGAÇO,SANTA CRUZ,Local,30,1,"1,0"
RUA MENEVAL SCHENKEL,SANTA CRUZ,Local,20,1,"1,0"
RUA MENEZES DE ATAIDE,SANTA CRUZ,Local,30,1,"1,0"
RUA MERCEDES COELHO,SANTA CRUZ,Local,30,1,"1,0"
RUA MIGUEL REALLE,SANTA CRUZ,Local,30,1,"1,0"
RUA MIGUEL SERPA PEREIRA,SANTA CRUZ,Local,30,1,"1,0"
RUA MILTON PONCE FERNANDES,SANTA CRUZ,Local,30,1,"1,0"
RUA MINISTRO PETRÔNIO PORTELLA,SANTA CRUZ,Local,30,1,"1,0"
RUA MIRACICA,SANTA CRUZ,Local,30,1,"1,0"
RUA MOABYTAS,SANTA CRUZ,Local,30,1,"1,0"
RUA MOACYR FELIX,SANTA CRUZ,Local,30,1,"1,0"
RUA MOACYR MARTINS DIAS,SANTA CRUZ,Local,30,1,"1,0"
RUA MOISES DE OLIVEIRA,SANTA CRUZ,Local,30,1,"1,0"
RUA MONTE HOREBE,SANTA CRUZ,Local,30,1,"1,0"
RUA MONTE OREBE,SANTA CRUZ,Local,30,1,"1,0"
RUA MONTE SINAI,SANTA CRUZ,Local,30,1,"1,0"
RUA MONTREAL,SANTA CRUZ,Local,30,1,"1,0"
RUA MORAES MOREIRA,SANTA CRUZ,Local,30,1,"1,0"
RUA MORRO ALTO,SANTA CRUZ,Local,30,1,"1,0"
RUA MORTUGABA,SANTA CRUZ,Local,20,1,"1,0"
RUA MÁRIO QUINTANA,SANTA CRUZ,Local,30,1,"1,0"
RUA N,SANTA CRUZ,Local,30,1,"1,0"
RUA NAIR MARIA DO DESTERRO,SANTA CRUZ,Local,30,1,"1,0"
RUA NELSON DA SILVA,SANTA CRUZ,Local,30,1,"1,0"
RUA NELSON JOAQUIM,SANTA CRUZ,Local,30,1,"1,0"
RUA NELSON PIAUHY DOURADO,SANTA CRUZ,Local,30,1,"1,0"
RUA NELSON XAVIER,SANTA CRUZ,Local,30,1,"1,0"
RUA NESTOR,SANTA CRUZ,Local,30,1,"1,0"
RUA NEWTON MENDONÇA,SANTA CRUZ,Local,30,1,"1,0"
RUA NICHOLAS WINTON,SANTA CRUZ,Local,30,1,"1,0"
RUA NICOLAU JORGE,SANTA CRUZ,Local,30,1,"1,0"
RUA NOITE ILUSTRADA,SANTA CRUZ,Local,30,1,"1,0"
RUA NOVA SERRANA,SANTA CRUZ,Local,30,1,"1,0"
RUA NOVE,SANTA CRUZ,Local,30,1,"1,0"
RUA O,SANTA CRUZ,Local,30,1,"1,0"
RUA OITO,SANTA CRUZ,Local,30,1,"1,0"
RUA OITO - PAA 10806-A/ PAL 42836,SANTA CRUZ,Local,30,1,"1,0"
RUA OLAVO,SANTA CRUZ,Local,30,1,"1,0"
RUA OLAVO BILAC,SANTA CRUZ,Local,30,1,"1,0"
RUA OLDER CAZARRÉ,SANTA CRUZ,Local,30,1,"1,0"
RUA OLIVALDO,SANTA CRUZ,Local,30,1,"1,0"
RUA OLIVEIRA,SANTA CRUZ,Local,30,1,"1,0"
RUA ONZE,SANTA CRUZ,Local,30,1,"1,0"
RUA ORIENTAL,SANTA CRUZ,Local,30,1,"1,0"
RUA ORMINDO MARTINS,SANTA CRUZ,Local,30,1,"1,0"
RUA OSCAR LORENZO,SANTA CRUZ,Local,30,1,"1,0"
RUA OSMUNDO FERREIRA DE ANDRADE,SANTA CRUZ,Local,30,1,"1,0"
RUA OSWALDO COSTA,SANTA CRUZ,Local,30,1,"1,0"
RUA OSWALDO DE ASSIS LEAL,SANTA CRUZ,Local,30,1,"1,0"
RUA OSWALDO FONTES,SANTA CRUZ,Local,30,1,"1,0"
RUA OSWALDO MASSAINI,SANTA CRUZ,Local,30,1,"1,0"
RUA OSWALDO RIBEIRO,SANTA CRUZ,Local,30,1,"1,0"
RUA OTHELINA DE OLIVEIRA COSTA CECY,SANTA CRUZ,Local,30,1,"1,0"
RUA P - PAL 15142,SANTA CRUZ,Local,20,1,"1,0"
RUA P. ANTÔNIO MENEZES,SANTA CRUZ,Local,20,1,"1,0"
RUA P. DE FREITAS,SANTA CRUZ,Local,20,1,"1,0"
RUA PADRE GONÇALO DE OLIVEIRA,SANTA CRUZ,Local,30,1,"1,0"
RUA PADRE PEDRO FERNANDES,SANTA CRUZ,Local,30,1,"1,0"
RUA PALAVRA E SILÊNCIO,SANTA CRUZ,Local,30,1,"1,0"
RUA PALAVRA ESCRITA,SANTA CRUZ,Local,30,1,"1,0"
RUA PAOLIELO,SANTA CRUZ,Local,30,1,"1,0"
RUA PARAÍSO,SANTA CRUZ,Local,30,1,"1,0"
RUA PASSO DA PÁTRIA,SANTA CRUZ,Local,30,1,"1,0"
RUA PATATIVA,SANTA CRUZ,Local,30,1,"1,0"
RUA PAULINO CHAVES,SANTA CRUZ,Local,30,1,"1,0"
RUA PAULO BETO,SANTA CRUZ,Local,30,1,"1,0"
RUA PAULO GARCEZ,SANTA CRUZ,Local,30,1,"1,0"
RUA PAULO REHDER,SANTA CRUZ,Local,30,1,"1,0"
RUA PAULO SILVINO,SANTA CRUZ,Local,30,1,"1,0"
RUA PEDRO COSTA,SANTA CRUZ,Local,30,1,"1,0"
RUA PEDRO ERNESTO SODRÉ,SANTA CRUZ,Local,30,1,"1,0"
RUA PEDRO ESTEVÃO,SANTA CRUZ,Local,30,1,"1,0"
RUA PEDRO PEREIRA DA SILVA,SANTA CRUZ,Local,30,1,"1,0"
RUA PEDRO SABINO DOS SANTOS,SANTA CRUZ,Local,30,1,"1,0"
RUA PEIXOTO DE CASTRO,SANTA CRUZ,Local,30,1,"1,0"
RUA PENHA,SANTA CRUZ,Local,30,1,"1,0"
RUA PENTECOSTE,SANTA CRUZ,Local,30,1,"1,0"
RUA PINDARE,SANTA CRUZ,Local,30,1,"1,0"
RUA PISTOIA,SANTA CRUZ,Local,30,1,"1,0"
RUA POETA JORGE SALOMÃO,SANTA CRUZ,Local,30,1,"1,0"
RUA POLIDORIO PIRES CAMPOS,SANTA CRUZ,Local,30,1,"1,0"
RUA POLINÍCIO BUARQUE DE AMORIM,SANTA CRUZ,Local,20,1,"1,0"
RUA PONTINELLI,SANTA CRUZ,Local,30,1,"1,0"
RUA PRIMAVERA,SANTA CRUZ,Local,30,1,"1,0"
RUA PRIMEIRA,SANTA CRUZ,Local,30,1,"1,0"
RUA PROFESSOR HENRIQUE DE ARAGÃO,SANTA CRUZ,Local,30,1,"1,0"
RUA PROFESSOR LEIRA,SANTA CRUZ,Local,30,1,"1,0"
RUA PROFESSOR MACHADO,SANTA CRUZ,Local,30,1,"1,0"
RUA PROFESSOR VENÂNCIO,SANTA CRUZ,Local,30,1,"1,0"
RUA PROFESSORA AMÉLIA PINTO CHAGAS,SANTA CRUZ,Local,30,1,"1,0"
RUA PROFESSORA OLGA PIMENTEL,SANTA CRUZ,Local,30,1,"1,0"
RUA PROJETADA,SANTA CRUZ,Local,30,1,"1,0"
RUA PROJETADA 01 PAA 12767/PAL 49882,SANTA CRUZ,Local,30,1,"1,0"
RUA PROJETADA 02 PAA 12767/PAL 49882,SANTA CRUZ,Local,30,1,"1,0"
RUA PROJETADA 03 PAA 12767/PAL 49882,SANTA CRUZ,Local,30,1,"1,0"
RUA PROJETADA 04 PAA 12767/PAL 49882,SANTA CRUZ,Local,30,1,"1,0"
RUA PROJETADA 05 PAA 12767/PAL 49882,SANTA CRUZ,Local,30,1,"1,0"
RUA PROJETADA 09 PAA 12767/PAL 49882,SANTA CRUZ,Local,30,1,"1,0"
RUA PROJETADA 10 PAA 12767/PAL 49882,SANTA CRUZ,Local,30,1,"1,0"
RUA PROJETADA 11 PAA 12767/PAL 49882,SANTA CRUZ,Local,30,1,"1,0"
RUA PROJETADA 12 PAA 12767/PAL 49882,SANTA CRUZ,Local,30,1,"1,0"
RUA PROJETADA 13 PAA 12767/PAL 49882,SANTA CRUZ,Local,30,1,"1,0"
RUA PROJETADA A,SANTA CRUZ,Estrutural,30,5,"1,0"
