logradouro,bairro,hierarquia,velocidade_maxima,peso_h,peso_v
AVENIDA CARLOS LACERDA,ABOLIÇÃO,Estrutural,100,5,"3,0"
AVENIDA DOM HELDER CAMARA,ABOLIÇÃO,Arterial primária,60,4,"2,0"
BECO DO LOPES,ABOLIÇÃO,Local,20,1,"1,0"
RUA AFONSO FERREIRA,ABOLIÇÃO,Local,30,1,"1,0"
RUA ALMEIDA BASTOS,ABOLIÇÃO,Local,30,1,"1,0"
RUA BASÍLIO DA GAMA,ABOLIÇÃO,Local,30,1,"1,0"
RUA BRÁULIO MUNIZ,ABOLIÇÃO,Local,30,1,"1,0"
RUA CANTILDA MACIEL,ABOLIÇÃO,Local,30,1,"1,0"
RUA CARLOS DE OLIVEIRA,ABOLIÇÃO,Local,30,1,"1,0"
RUA DA ABOLIÇÃO,ABOLIÇÃO,Coletora,40,2,"1,2"
RUA ENGENHEIRO NAZARETH,ABOLIÇÃO,Coletora,40,2,"1,2"
RUA FERREIRA LEITE,ABOLIÇÃO,Local,30,1,"1,0"
RUA FIGUEIREDO PIMENTEL,ABOLIÇÃO,Local,30,1,"1,0"
RUA GLAZIOU,ABOLIÇÃO,Coletora,30,2,"1,0"
RUA GUILHERMINA,ABOLIÇÃO,Coletora,40,2,"1,2"
RUA LUIS SILVA,ABOLIÇÃO,Local,30,1,"1,0"
RUA MACEDO BRAGA,ABOLIÇÃO,Local,30,1,"1,0"
RUA MARIO CARPENTER,ABOLIÇÃO,Coletora,40,2,"1,2"
RUA MORAIS MACEDO,ABOLIÇÃO,Local,30,1,"1,0"
RUA MOREIRA,ABOLIÇÃO,Coletora,40,2,"1,2"
RUA PAQUEQUER,ABOLIÇÃO,Local,30,1,"1,0"
RUA SILVA XAVIER,ABOLIÇÃO,Local,30,1,"1,0"
RUA TEIXEIRA DE AZEVEDO,ABOLIÇÃO,Coletora,40,2,"1,2"
TRAVESSA COARI,ABOLIÇÃO,Local,30,1,"1,0"
TRAVESSA CORDEIRO,ABOLIÇÃO,Local,30,1,"1,0"
TRAVESSA FLECHEIRAS,ABOLIÇÃO,Local,20,1,"1,0"
TRAVESSA GOMES DA SILVA,ABOLIÇÃO,Local,30,1,"1,0"
TRAVESSA MARIETA REIS,ABOLIÇÃO,Local,30,1,"1,0"
TRAVESSA MARTA DA ROCHA,ABOLIÇÃO,Local,30,1,"1,0"
TRAVESSA SANTA MARTINHA,ABOLIÇÃO,Local,30,1,"1,0"
TRAVESSA VIRGINIA,ABOLIÇÃO,Local,30,1,"1,0"
AVENIDA BRASIL,ACARI,Estrutural,80,5,"3,0"
AVENIDA PASTOR MARTIN LUTHER KING JR.,ACARI,Arterial secundária,50,3,"1,5"
BECO DEMOCRATA,ACARI,Local,20,1,"1,0"
BECO MENENECO,ACARI,Local,20,1,"1,0"
BECO TIÃO,ACARI,Local,20,1,"1,0"
ESTRADA DO PORTINHO,ACARI,Local,30,1,"1,0"
ESTRADA ENGENHEIRO EDGARD SOUTELLO,ACARI,Local,30,1,"1,0"
ESTRADA RIO D´OURO,ACARI,Coletora,40,2,"1,2"
RUA ACURUI,ACARI,Local,30,1,"1,0"
RUA ASSIS,ACARI,Local,20,1,"1,0"
RUA BOLONHA,ACARI,Local,20,1,"1,0"
RUA C,ACARI,Local,20,1,"1,0"
RUA CARLOS,ACARI,Local,20,1,"1,0"
RUA CINCO,ACARI,Local,20,1,"1,0"
RUA DA PAZ,ACARI,Local,30,1,"1,0"
RUA DA UNIÃO,ACARI,Local,30,1,"1,0"
RUA DAVI,ACARI,Local,20,1,"1,0"
RUA DEZOITO,ACARI,Local,20,1,"1,0"
RUA DO ALARIA,ACARI,Local,30,1,"1,0"
RUA DO CAMPO,ACARI,Local,30,1,"1,0"
RUA DO VIADUTO,ACARI,Local,40,1,"1,2"
RUA ENORA,ACARI,Local,30,1,"1,0"
RUA ERNANI,ACARI,Local,20,1,"1,0"
RUA FRANCISCO,ACARI,Local,20,1,"1,0"
RUA GUAIUBA,ACARI,Local,30,1,"1,0"
RUA GUAJARA,ACARI,Local,30,1,"1,0"
RUA HIPÓLITO,ACARI,Local,20,1,"1,0"
RUA IPUERA,ACARI,Coletora,30,2,"1,0"
RUA J,ACARI,Local,30,1,"1,0"
RUA JOÃO CRISPIM DE BARROS,ACARI,Local,20,1,"1,0"
RUA KELY,ACARI,Local,20,1,"1,0"
RUA LIBERDADE,ACARI,Local,30,1,"1,0"
RUA LUIZ,ACARI,Local,20,1,"1,0"
RUA MARIA DA GRAÇA,ACARI,Local,30,1,"1,0"
RUA MATURA,ACARI,Local,30,1,"1,0"
RUA NAIR,ACARI,Local,20,1,"1,0"
RUA OLARIA,ACARI,Local,20,1,"1,0"
RUA PANTOJA,ACARI,Local,30,1,"1,0"
RUA PEREIRA SILVA,ACARI,Local,20,1,"1,0"
RUA PIRACAMBU,ACARI,Local,30,1,"1,0"
RUA PRINCIPAL,ACARI,Local,30,1,"1,0"
RUA ROBERTO CARLOS,ACARI,Local,20,1,"1,0"
RUA SOUZA,ACARI,Local,20,1,"1,0"
RUA SÃO PAULO,ACARI,Local,20,1,"1,0"
RUA SÃO SEVERINO,ACARI,Local,20,1,"1,0"
RUA TAPUIARA,ACARI,Local,30,1,"1,0"
RUA TRÊS,ACARI,Local,20,1,"1,0"
RUA VALÃO,ACARI,Local,30,1,"1,0"
RUA WILSON,ACARI,Local,20,1,"1,0"
TRAVESSA GERALDO,ACARI,Local,20,1,"1,0"
TRAVESSA JORGE,ACARI,Local,20,1,"1,0"
TRAVESSA LEANDRO,ACARI,Local,20,1,"1,0"
TRAVESSA NESTOR,ACARI,Local,30,1,"1,0"
TRAVESSA NILTON,ACARI,Local,20,1,"1,0"
TRAVESSA PEREIRA SILVA,ACARI,Local,20,1,"1,0"
TRAVESSA PIRACAMBU,ACARI,Local,20,1,"1,0"
TRAVESSA SÃO BENEDITO,ACARI,Local,20,1,"1,0"
AVENIDA EDISON PASSOS,ALTO DA BOA VISTA,Arterial secundária,50,3,"1,5"
CAMINHO CÓRREGO ALEGRE,ALTO DA BOA VISTA,Local,20,1,"1,0"
CAMINHO DO SERTÃO,ALTO DA BOA VISTA,Local,20,1,"1,0"
CAMINHO SANTO ANDRÉ,ALTO DA BOA VISTA,Local,30,1,"1,0"
ESTRADA BIGUA,ALTO DA BOA VISTA,Local,30,1,"1,0"
ESTRADA CASCATINHA,ALTO DA BOA VISTA,Local,20,1,"1,0"
ESTRADA CHAPECÓ,ALTO DA BOA VISTA,Local,20,1,"1,0"
ESTRADA DA EMBRATEL,ALTO DA BOA VISTA,Local,20,1,"1,0"
ESTRADA DA GÁVEA PEQUENA,ALTO DA BOA VISTA,Local,40,1,"1,2"
ESTRADA DA PEDRA BONITA,ALTO DA BOA VISTA,Local,40,1,"1,2"
ESTRADA DAS FURNAS,ALTO DA BOA VISTA,Arterial secundária,50,3,"1,5"
ESTRADA DE MARACAI,ALTO DA BOA VISTA,Local,30,1,"1,0"
ESTRADA DO AÇUDE,ALTO DA BOA VISTA,Local,30,1,"1,0"
ESTRADA DO IMPERADOR,ALTO DA BOA VISTA,Local,20,1,"1,0"
ESTRADA DO QUEBRA CANGALHAS,ALTO DA BOA VISTA,Local,20,1,"1,0"
ESTRADA DO REDENTOR,ALTO DA BOA VISTA,Coletora,30,2,"1,0"
ESTRADA DO SOBERBO,ALTO DA BOA VISTA,Local,30,1,"1,0"
ESTRADA DO SUMARÉ,ALTO DA BOA VISTA,Local,30,1,"1,0"
ESTRADA DO TIJUAÇU,ALTO DA BOA VISTA,Local,30,1,"1,0"
ESTRADA DONA CASTORINA,ALTO DA BOA VISTA,Local,30,1,"1,0"
ESTRADA DOS PICOS,ALTO DA BOA VISTA,Local,30,1,"1,0"
ESTRADA ESCRAGNOLE,ALTO DA BOA VISTA,Local,30,1,"1,0"
ESTRADA ITAPICURU,ALTO DA BOA VISTA,Local,30,1,"1,0"
ESTRADA MAJOR ARCHER,ALTO DA BOA VISTA,Local,30,1,"1,0"
ESTRADA ROQUETE PINTO,ALTO DA BOA VISTA,Local,30,1,"1,0"
ESTRADA VELHA DA GÁVEA PEQUENA,ALTO DA BOA VISTA,Local,30,1,"1,0"
ESTRADA VELHA DA TIJUCA,ALTO DA BOA VISTA,Local,30,1,"1,0"
ESTRADA VISCONDE DO BOM RETIRO,ALTO DA BOA VISTA,Local,30,1,"1,0"
ESTRADA VISTA CHINESA,ALTO DA BOA VISTA,Local,30,1,"1,0"
PRAÇA AFONSO VISEU,ALTO DA BOA VISTA,Arterial secundária,30,3,"1,0"
PRAÇA IMPERIAL,ALTO DA BOA VISTA,Local,30,1,"1,0"
ROSÁRIO BERNARDO FERREIRA,ALTO DA BOA VISTA,Local,20,1,"1,0"
RUA A - A,ALTO DA BOA VISTA,Local,30,1,"1,0"
RUA ALVES CAMARA,ALTO DA BOA VISTA,Local,30,1,"1,0"
RUA AMADO NERVO,ALTO DA BOA VISTA,Coletora,30,2,"1,0"
RUA ANGELO DOS REIS,ALTO DA BOA VISTA,Local,30,1,"1,0"
RUA ANTÔNIO MONTEIRO DE ARAÚJO,ALTO DA BOA VISTA,Local,30,1,"1,0"
RUA ANTÔNIO NUNES,ALTO DA BOA VISTA,Local,30,1,"1,0"
RUA ANTÔNIO ZAVA,ALTO DA BOA VISTA,Local,20,1,"1,0"
RUA BARTOLOMEU SODRÉ,ALTO DA BOA VISTA,Local,20,1,"1,0"
RUA CAETANO DE CAMPOS,ALTO DA BOA VISTA,Local,30,1,"1,0"
RUA CAPITÃO CAMPOS,ALTO DA BOA VISTA,Local,30,1,"1,0"
RUA CLARA MARIA EUGÊNIA,ALTO DA BOA VISTA,Local,20,1,"1,0"
RUA COMENDADOR GERVÁSIO SEABRA,ALTO DA BOA VISTA,Local,40,1,"1,2"
RUA CUSTÓDIO CORREA,ALTO DA BOA VISTA,Local,30,1,"1,0"
RUA DA BOA VISTA,ALTO DA BOA VISTA,Arterial secundária,50,3,"1,5"
RUA DONA RITA COSTA,ALTO DA BOA VISTA,Local,30,1,"1,0"
RUA DOUTOR CATRAMBI,ALTO DA BOA VISTA,Local,30,1,"1,0"
RUA EDUARDO XAVIER,ALTO DA BOA VISTA,Local,30,1,"1,0"
RUA F,ALTO DA BOA VISTA,Local,30,1,"1,0"
RUA FERREIRA DE ALMEIDA,ALTO DA BOA VISTA,Local,30,1,"1,0"
RUA FONTES CASTELO,ALTO DA BOA VISTA,Local,30,1,"1,0"
RUA ITACOCE,ALTO DA BOA VISTA,Local,30,1,"1,0"
RUA JORGE MACHADO DA SILVEIRA,ALTO DA BOA VISTA,Local,20,1,"1,0"
RUA JORNALISTA GUIMA,ALTO DA BOA VISTA,Local,30,1,"1,0"
RUA JOÃO BATISTA SEQUEIRA,ALTO DA BOA VISTA,Local,20,1,"1,0"
RUA LAURA PRATA BERÇOT,ALTO DA BOA VISTA,Local,20,1,"1,0"
RUA MARECHAL PILSUDSKI,ALTO DA BOA VISTA,Local,20,1,"1,0"
RUA MINISTRO VIRIATO VARGAS,ALTO DA BOA VISTA,Local,30,1,"1,0"
RUA MUÇU,ALTO DA BOA VISTA,Local,30,1,"1,0"
RUA MÁRIO ALVES SERRA,ALTO DA BOA VISTA,Local,20,1,"1,0"
RUA OSTALINO PEREIRA DA SILVA,ALTO DA BOA VISTA,Local,30,1,"1,0"
RUA OSWALDO PEREIRA FILHO,ALTO DA BOA VISTA,Local,30,1,"1,0"
RUA PARTICULAR,ALTO DA BOA VISTA,Local,30,1,"1,0"
RUA RAIMUNDO CASTRO MAIA,ALTO DA BOA VISTA,Local,20,1,"1,0"
RUA RAIZ DA SERRA,ALTO DA BOA VISTA,Local,30,1,"1,0"
RUA RODRIGO DA SILVA,ALTO DA BOA VISTA,Local,30,1,"1,0"
RUA TENENTE FRANCISCO MEGA,ALTO DA BOA VISTA,Local,20,1,"1,0"
RUA TIUMBI,ALTO DA BOA VISTA,Local,20,1,"1,0"
RUA VISCONDE DE BEAUREPAIRE,ALTO DA BOA VISTA,Local,30,1,"1,0"
TRAVESSA DA SELVA,ALTO DA BOA VISTA,Local,20,1,"1,0"
TRAVESSA JACAMIM,ALTO DA BOA VISTA,Local,30,1,"1,0"
VIADUTO SANTOS DIAS,ALTO DA BOA VISTA,Arterial secundária,50,3,"1,5"
AVENIDA CHRISÓSTOMO PIMENTEL DE OLIVEIRA,ANCHIETA,Coletora,50,2,"1,5"
AVENIDA DE NAZARÉ,ANCHIETA,Coletora,40,2,"1,2"
BECO DA AMIZADE,ANCHIETA,Local,30,1,"1,0"
ESTRADA DO ENGENHO NOVO,ANCHIETA,Coletora,50,2,"1,5"
ESTRADA MARECHAL ALENCASTRO,ANCHIETA,Coletora,60,2,"2,0"
LADEIRA SÃO SEBASTIÃO,ANCHIETA,Local,30,1,"1,0"
PRAÇA BONANÇA,ANCHIETA,Local,30,1,"1,0"
PRAÇA DO DESCANSO,ANCHIETA,Local,30,1,"1,0"
PRAÇA ITANHOMI,ANCHIETA,Local,30,1,"1,0"
RUA ABADE PIERRE,ANCHIETA,Local,30,1,"1,0"
RUA ADALBERTO TANAJURA,ANCHIETA,Local,30,1,"1,0"
RUA ADELIS LUIS DE LIMA,ANCHIETA,Local,30,1,"1,0"
RUA ADOLFO COELHO,ANCHIETA,Coletora,30,2,"1,0"
RUA AIACA,ANCHIETA,Local,30,1,"1,0"
RUA AIUBA,ANCHIETA,Local,30,1,"1,0"
RUA ALAIR,ANCHIETA,Local,30,1,"1,0"
RUA ALBA PONTES PARENTE,ANCHIETA,Local,30,1,"1,0"
RUA ALBERTO SANTOS DUMONT,ANCHIETA,Local,30,1,"1,0"
RUA ALCOBACA,ANCHIETA,Coletora,40,2,"1,2"
RUA ALGARVE,ANCHIETA,Local,30,1,"1,0"
RUA ALICE COSTA,ANCHIETA,Local,30,1,"1,0"
RUA ALMEIDA BASTOS,ANCHIETA,Local,30,1,"1,0"
RUA AMARO DA SILVEIRA,ANCHIETA,Local,30,1,"1,0"
RUA ANTONIO DE SAMPAIO,ANCHIETA,Local,30,1,"1,0"
RUA ANTONIO TIBURCIO DE SOUZA,ANCHIETA,Local,30,1,"1,0"
RUA ANTÔNIO BLAZ,ANCHIETA,Local,30,1,"1,0"
RUA ANTÔNIO WILSON HONÓRIO,ANCHIETA,Local,30,1,"1,0"
RUA APIRUI,ANCHIETA,Local,30,1,"1,0"
RUA ARAMARI,ANCHIETA,Local,30,1,"1,0"
RUA ARAÚJO ROZO,ANCHIETA,Local,30,1,"1,0"
RUA ARNALDO MURINELLI,ANCHIETA,Coletora,30,2,"1,0"
RUA ARTHUR MAIA,ANCHIETA,Local,30,1,"1,0"
RUA ATAUBA,ANCHIETA,Local,30,1,"1,0"
RUA B,ANCHIETA,Local,30,1,"1,0"
RUA BARAUNA,ANCHIETA,Local,30,1,"1,0"
RUA BEATRIZ HERÉDIA,ANCHIETA,Local,30,1,"1,0"
RUA BOACICA,ANCHIETA,Local,30,1,"1,0"
RUA BREJAUVA,ANCHIETA,Local,30,1,"1,0"
RUA C,ANCHIETA,Local,30,1,"1,0"
RUA CABO HONÓRIO DE OLIVEIRA FILHO,ANCHIETA,Local,30,1,"1,0"
RUA CAPITÃO PAULO,ANCHIETA,Coletora,30,2,"1,0"
RUA CAPRI,ANCHIETA,Local,30,1,"1,0"
RUA CARDOSO DE CASTRO,ANCHIETA,Coletora,50,2,"1,5"
RUA CAÇAREMA,ANCHIETA,Local,30,1,"1,0"
RUA CHE GUEVARA,ANCHIETA,Local,30,1,"1,0"
RUA CHICO MENDES,ANCHIETA,Local,30,1,"1,0"
RUA CIERE,ANCHIETA,Local,30,1,"1,0"
RUA CLARA BORGES,ANCHIETA,Coletora,30,2,"1,0"
RUA COROACI,ANCHIETA,Local,30,1,"1,0"
RUA CORONEL JOSUÉ,ANCHIETA,Local,30,1,"1,0"
RUA CORONEL QUEIROZ,ANCHIETA,Local,30,1,"1,0"
RUA CRISTOVÃO JAQUES,ANCHIETA,Local,30,1,"1,0"
RUA CUMATA,ANCHIETA,Local,30,1,"1,0"
RUA DA ESPERANÇA,ANCHIETA,Local,30,1,"1,0"
RUA DELFINA DA CUNHA,ANCHIETA,Local,30,1,"1,0"
RUA DELHI,ANCHIETA,Local,30,1,"1,0"
RUA DEOCLECIANO RAMOS,ANCHIETA,Local,30,1,"1,0"
RUA DEZ,ANCHIETA,Local,30,1,"1,0"
RUA DOM MAURO,ANCHIETA,Local,30,1,"1,0"
RUA DOS TALENTOS,ANCHIETA,Local,30,1,"1,0"
RUA DOUTOR ANTONIO MARZULO,ANCHIETA,Local,30,1,"1,0"
RUA DOUTOR PAULO AMARAL,ANCHIETA,Local,30,1,"1,0"
RUA DOZE,ANCHIETA,Local,30,1,"1,0"
RUA EDGAR BARBOSA,ANCHIETA,Local,40,1,"1,2"
RUA EDSON BISPO DOS SANTOS,ANCHIETA,Local,30,1,"1,0"
RUA EDSON TEIXEIRA GUIMARÃES,ANCHIETA,Local,30,1,"1,0"
RUA ENGENHEIRO ARMINDO RANGEL,ANCHIETA,Local,30,1,"1,0"
RUA EPIFÂNIO DIAS,ANCHIETA,Local,30,1,"1,0"
RUA ERNESTO VIEIRA,ANCHIETA,Local,30,1,"1,0"
RUA EUCÁDIA,ANCHIETA,Local,30,1,"1,0"
RUA F,ANCHIETA,Local,30,1,"1,0"
RUA FAUSTINO LINS,ANCHIETA,Coletora,40,2,"1,2"
RUA FERNANDES ELÓI DOS SANTOS,ANCHIETA,Local,30,1,"1,0"
RUA FERNANDES LIMA,ANCHIETA,Local,30,1,"1,0"
RUA FRANCELINA,ANCHIETA,Local,30,1,"1,0"
RUA FRANCISCO DE ANDRADE,ANCHIETA,Local,30,1,"1,0"
RUA FRANCISCO DE PAULA MENEZES,ANCHIETA,Local,30,1,"1,0"
RUA FREDERICO EDELWEISS,ANCHIETA,Local,30,1,"1,0"
RUA FROES DE ABREU,ANCHIETA,Local,30,1,"1,0"
RUA GANDM,ANCHIETA,Local,30,1,"1,0"
RUA GENERAL AUGUSTO SISSON,ANCHIETA,Local,30,1,"1,0"
RUA GENEROSA,ANCHIETA,Local,30,1,"1,0"
RUA GIUDITA REALE,ANCHIETA,Local,30,1,"1,0"
RUA GONÇALVES VIANA,ANCHIETA,Local,30,1,"1,0"
RUA HEITOR DOS PRAZERES,ANCHIETA,Local,30,1,"1,0"
RUA HENRIQUETA VALUANO,ANCHIETA,Local,30,1,"1,0"
RUA HIMALAIA,ANCHIETA,Local,30,1,"1,0"
RUA HURON,ANCHIETA,Local,30,1,"1,0"
RUA HÉLIO JOSÉ PEREIRA,ANCHIETA,Local,30,1,"1,0"
RUA IGARITE,ANCHIETA,Local,30,1,"1,0"
RUA IRENE VIANNA PIÑEIRO,ANCHIETA,Local,30,1,"1,0"
RUA ITAJACE,ANCHIETA,Local,30,1,"1,0"
RUA ITAJOBI,ANCHIETA,Local,30,1,"1,0"
RUA ITATIAIA,ANCHIETA,Local,30,1,"1,0"
RUA ITATIBA,ANCHIETA,Local,30,1,"1,0"
RUA ITAÍ,ANCHIETA,Coletora,40,2,"1,2"
RUA IVAN RODRIGUES LUPIM,ANCHIETA,Local,30,1,"1,0"
RUA JAGUARA,ANCHIETA,Local,30,1,"1,0"
RUA JAPUIBA,ANCHIETA,Local,30,1,"1,0"
RUA JARAGUA,ANCHIETA,Local,30,1,"1,0"
RUA JARUVA,ANCHIETA,Local,30,1,"1,0"
RUA JAVATA,ANCHIETA,Coletora,50,2,"1,5"
RUA JOSE LOURENÇO,ANCHIETA,Local,30,1,"1,0"
RUA JOSE MARCELINO DE VASCONCELOS,ANCHIETA,Local,30,1,"1,0"
RUA JOSÉ BOMTEMPO,ANCHIETA,Local,30,1,"1,0"
RUA JOSÉ RAINHA JUNIOR,ANCHIETA,Local,30,1,"1,0"
RUA JOÃO ALFREDO DE FREITAS,ANCHIETA,Local,30,1,"1,0"
RUA JOÃO SALDANHA,ANCHIETA,Local,30,1,"1,0"
RUA JUARANA,ANCHIETA,Local,30,1,"1,0"
RUA LENIR LIBERATO DA SILVA,ANCHIETA,Local,30,1,"1,0"
RUA LEOPOLDINA BORGES,ANCHIETA,Local,30,1,"1,0"
RUA LUIS REIS,ANCHIETA,Local,30,1,"1,0"
RUA LUÍS CARLOS PRESTES,ANCHIETA,Local,30,1,"1,0"
RUA LUÍS VIDAL,ANCHIETA,Local,30,1,"1,0"
RUA MANITOBA,ANCHIETA,Local,30,1,"1,0"
RUA MANOEL SOARES,ANCHIETA,Local,30,1,"1,0"
RUA MARCOS DO NASCIMENTO,ANCHIETA,Local,30,1,"1,0"
RUA MARIA ELIZA,ANCHIETA,Local,30,1,"1,0"
RUA MARIA ISABEL DE LIZANDRA,ANCHIETA,Local,30,1,"1,0"
RUA MARILDA MARCENAL DA SILVA,ANCHIETA,Local,30,1,"1,0"
RUA MARÍLIA FRANCO,ANCHIETA,Local,30,1,"1,0"
RUA MINISTRO PEDRO FRANKLIN,ANCHIETA,Local,30,1,"1,0"
RUA MODELO,ANCHIETA,Local,30,1,"1,0"
RUA MONIZ BANDEIRA,ANCHIETA,Local,30,1,"1,0"
RUA MONSENHOR NEGROMONTE,ANCHIETA,Local,30,1,"1,0"
RUA MOTOR LUIS ABREU,ANCHIETA,Coletora,40,2,"1,2"
RUA MOURA ROLIM,ANCHIETA,Local,30,1,"1,0"
RUA NAGOIA,ANCHIETA,Local,30,1,"1,0"
RUA NATALINA TEIXEIRA,ANCHIETA,Local,30,1,"1,0"
RUA NILCÉA FREIRE,ANCHIETA,Local,30,1,"1,0"
RUA NOSSA SENHORA DE FÁTIMA,ANCHIETA,Local,30,1,"1,0"
RUA OFELIA FOX,ANCHIETA,Local,30,1,"1,0"
RUA OITO DE DEZEMBRO,ANCHIETA,Local,30,1,"1,0"
RUA OLGA BELINÁRIO PRESTES,ANCHIETA,Local,30,1,"1,0"
RUA OLINTO TEIXEIRA,ANCHIETA,Local,30,1,"1,0"
RUA OLIVEIRA BUENO,ANCHIETA,Local,30,1,"1,0"
RUA PADRE ANTÔNIO SPERANDIO,ANCHIETA,Local,20,1,"1,0"
RUA PADRE GERALDO,ANCHIETA,Local,30,1,"1,0"
RUA PADRE LINO DE LA MORTE,ANCHIETA,Local,30,1,"1,0"
RUA PADRE MARIO VERSE,ANCHIETA,Coletora,30,2,"1,0"
RUA PAIVA RUBENS,ANCHIETA,Local,30,1,"1,0"
RUA PAULO DE AQUINO,ANCHIETA,Local,30,1,"1,0"
RUA PERPÉTUO SOCORRO,ANCHIETA,Local,30,1,"1,0"
RUA PROFESSOR LUIZ DE MELO CAMPOS,ANCHIETA,Local,30,1,"1,0"
RUA PROFESSOR SILVA PONTES,ANCHIETA,Local,30,1,"1,0"
RUA PROJETADA B,ANCHIETA,Local,30,1,"1,0"
RUA PROJETADA UM,ANCHIETA,Local,30,1,"1,0"
RUA QUATORZE,ANCHIETA,Local,30,1,"1,0"
RUA QUATRO,ANCHIETA,Local,20,1,"1,0"
RUA QUEBEC,ANCHIETA,Local,30,1,"1,0"
RUA QUIOTO,ANCHIETA,Local,30,1,"1,0"
RUA RAMIZ GALVÃO,ANCHIETA,Local,30,1,"1,0"
RUA RIO ACARI,ANCHIETA,Local,30,1,"1,0"
RUA RITA DE CÁSSIA,ANCHIETA,Local,30,1,"1,0"
RUA RUBENS PAIVA,ANCHIETA,Local,20,1,"1,0"
RUA SANDRA DE FREITAS,ANCHIETA,Local,30,1,"1,0"
RUA SANTÍSSIMA TRINDADE,ANCHIETA,Local,30,1,"1,0"
RUA SARGENTO AIRES DIAS,ANCHIETA,Local,30,1,"1,0"
RUA SARGENTO REGO,ANCHIETA,Local,30,1,"1,0"
RUA SEBASTIÃO DRUMOND,ANCHIETA,Local,30,1,"1,0"
RUA SEIS,ANCHIETA,Local,20,1,"1,0"
RUA SENADOR GABRIEL SALGADO,ANCHIETA,Local,30,1,"1,0"
RUA SETE,ANCHIETA,Local,20,1,"1,0"
RUA SEVERINO DE OLIVEIRA,ANCHIETA,Local,30,1,"1,0"
RUA SILVIO COSTA,ANCHIETA,Local,30,1,"1,0"
RUA SOLDADO EIDUARTE PONTES,ANCHIETA,Local,30,1,"1,0"
RUA SOLDADO JOSE BRAVOS,ANCHIETA,Local,30,1,"1,0"
RUA SOLDADO JOÃO CARMO,ANCHIETA,Local,30,1,"1,0"
RUA SOLDADO JOÃO FRANCO,ANCHIETA,Local,30,1,"1,0"
RUA SOLDADO LUIS MANUEL,ANCHIETA,Local,30,1,"1,0"
RUA SOLDADO MANUEL AMARO,ANCHIETA,Local,30,1,"1,0"
RUA SOLDADO MARCELINO LOURENÇO,ANCHIETA,Local,30,1,"1,0"
RUA SOLDADO OTACÍLIO DE SOUSA,ANCHIETA,Local,30,1,"1,0"
RUA SOLDADO PAULO PINHEIRO,ANCHIETA,Local,30,1,"1,0"
RUA SOUZA RAMOS,ANCHIETA,Local,30,1,"1,0"
RUA SYLVIO POTSCH,ANCHIETA,Local,30,1,"1,0"
RUA SÃO JOÃO DA CRUZ,ANCHIETA,Local,30,1,"1,0"
RUA SÃO NICOLAU,ANCHIETA,Local,30,1,"1,0"
RUA TAPUIA,ANCHIETA,Coletora,30,2,"1,0"
RUA TENENTE LASSANCE,ANCHIETA,Local,30,1,"1,0"
RUA TENENTE MANUEL BORGES,ANCHIETA,Local,30,1,"1,0"
RUA TOMAS DELFINO DOS SANTOS,ANCHIETA,Local,30,1,"1,0"
RUA TOMAZ EDISON,ANCHIETA,Local,30,1,"1,0"
RUA UM,ANCHIETA,Local,30,1,"1,0"
RUA VASCONCELO RENATO,ANCHIETA,Local,30,1,"1,0"
RUA WALTER DA ROCHA,ANCHIETA,Local,30,1,"1,0"
RUA ZANINI,ANCHIETA,Local,30,1,"1,0"
RUA ÍTALA FERREIRA,ANCHIETA,Local,30,1,"1,0"
TRAVESSA ARAMARI,ANCHIETA,Local,20,1,"1,0"
TRAVESSA ARNALDO MURINELLI,ANCHIETA,Local,20,1,"1,0"
TRAVESSA BONANSIA,ANCHIETA,Local,30,1,"1,0"
TRAVESSA CARATINGA,ANCHIETA,Local,30,1,"1,0"
TRAVESSA DE FÁTIMA,ANCHIETA,Local,30,1,"1,0"
TRAVESSA DONA LURDES,ANCHIETA,Local,30,1,"1,0"
TRAVESSA FERNANDO FERRETTI,ANCHIETA,Local,30,1,"1,0"
TRAVESSA ROMÁRIO MUNIZ,ANCHIETA,Local,30,1,"1,0"
TRAVESSA SARGENTO REGO,ANCHIETA,Local,30,1,"1,0"
TRAVESSA SEVERINO DE OLIVEIRA,ANCHIETA,Local,20,1,"1,0"
TRAVESSA SÃO SEBASTIÃO,ANCHIETA,Local,20,1,"1,0"
RUA ABREU LACERDA,ANDARAÍ,Local,30,1,"1,0"
RUA ADOLFO CAMINHA,ANDARAÍ,Local,30,1,"1,0"
RUA AGENOR MOREIRA,ANDARAÍ,Local,30,1,"1,0"
RUA AGOSTINHO MENEZES,ANDARAÍ,Local,30,1,"1,0"
RUA AMARAL,ANDARAÍ,Coletora,30,2,"1,0"
RUA ANAJATUBA,ANDARAÍ,Local,30,1,"1,0"
RUA ANDARAI,ANDARAÍ,Local,30,1,"1,0"
RUA ARARIPE JUNIOR,ANDARAÍ,Local,30,1,"1,0"
RUA BARÃO DE ITAIPU,ANDARAÍ,Local,30,1,"1,0"
RUA BARÃO DE MESQUITA,ANDARAÍ,Arterial secundária,40,3,"1,2"
RUA BARÃO DE SÃO FRANCISCO,ANDARAÍ,Arterial secundária,40,3,"1,2"
RUA BARÃO DE VASSOURAS,ANDARAÍ,Coletora,40,2,"1,2"
RUA CARENA,ANDARAÍ,Local,20,1,"1,0"
RUA DO OUTEIRO,ANDARAÍ,Local,30,1,"1,0"
