fid,ext,tipo_infra,apenas_ano,fluxo_infr,inicio,contabilizar,data_implant,vias,area_plane,local_infr,executor,final,SHAPE__Length,rp,status,cod_rp
31,0.15376397,Faixa compartilhada na calçada,,Bidirecional,"Rua Guarujá, número 5555",Sim,,Rua Soldado Hamilton de Silva e Costa,5,Na calçada,,Número 04,153.740100354032,Santa Cruz,Implantada,5.3
32,2.48840048,Faixa compartilhada na calçada,,Bidirecional,Estrada do Encanamento,Sim,,Estrada da Paciência,5,No bordo esquerdo da pista,,Próximo ao Viaduto de Paciência,2488.02236555391,Campo Grande,Implantada,5.2
33,1.9389029,Faixa compartilhada na calçada,,Bidirecional,Rua Nelson Pereira dos Santos,Sim,,Rua Zélio Valverde,5,No bordo direito da pista,,"Avenida Padre Guilherme Decaminada, número 05",1938.56420605207,Santa Cruz,Implantada,5.3
34,0.24414392,Faixa compartilhada na calçada,,Não identificado,Número 55,Sim,,Rua Ferreira Borges,5,No bordo direito da pista,,Número 04,244.112267042616,Campo Grande,Implantada,5.2
35,4.27696207,Ciclovia,,Bidirecional,Número 192,Sim,,Avenida João XXIII,5,No bordo direito da pista,,Número 914,4276.17118172413,Santa Cruz,Implantada,5.3
36,0.49464739,Faixa compartilhada na calçada,,Bidirecional,Avenida Padre Guilherme Decaminada,Sim,,Rodovia Governador Mário Covas,5,No bordo direito da pista,,Próximo ao Assaí Atacadista,494.562105595061,Santa Cruz,Implantada,5.3
37,0.07451273,Faixa compartilhada na calçada,,"Unidirecional, no fluxo dos automóveis",Rua Gabriel Bernardes,Sim,,Praça Ruão,5,Na calçada,,Rua Medeiros e Albuquerque,74.4996690691956,Santa Cruz,Implantada,5.3
38,0.00460011,Faixa compartilhada na calçada,,Bidirecional,Número 93,Sim,,Rua Guarujá,5,No bordo direito da pista,,Número 3355,4.59936522250625,Santa Cruz,Implantada,5.3
39,3.59024086,Faixa compartilhada na calçada,,Bidirecional,Altura do Viaduto de Inhoaíba,Sim,,Rua Campo Grande,5,No bordo direito da pista,,Número 1430,3589.74519218568,Campo Grande,Implantada,5.2
40,0.15736598,Ciclofaixa,,Não identificado,Rua Francisco Belisário,Sim,,Rua Severiano das chagas,5,No meio da pista,,Rua Álvaro Alberto,157.338657163181,Santa Cruz,Implantada,5.3
41,0.26969075,Faixa compartilhada na calçada,,Bidirecional,Número 366,Sim,,Rua Gabriel Bernardes,5,Na calçada,,Praça Ruão,269.643662286604,Santa Cruz,Implantada,5.3
42,0.34902633,Faixa compartilhada na calçada,,Bidirecional,Número 99,Sim,,Rua Francisco Belisário,5,Na calçada,,Próximo à Estrada de Urucânia,348.965647662612,Santa Cruz,Implantada,5.3
43,0.75519537,Faixa compartilhada na calçada,,Bidirecional,Rua Ferreira Borges,Sim,,Rua Xavier Marques,5,No bordo direito da pista,,Rua Cabiúna,755.098815416512,Campo Grande,Implantada,5.2
44,1.85410584,Faixa compartilhada na calçada,,Bidirecional,Número 1785,Sim,,Estrada da Cachamorra,5,No bordo direito da pista,,Rua Olinda Ellis,1853.8694576895,Campo Grande,Implantada,5.2
45,2.17517186,Faixa compartilhada na calçada,,Bidirecional,Número 492,Sim,,Estrada da Cachamorra,5,Na calçada,,Número 1785,2174.888957334,Campo Grande,Implantada,5.2
46,1.84952988,Faixa compartilhada na calçada,,Bidirecional,Número 12 (Sentido Guaratiba),Sim,,Estrada da Cachamorra,5,Na calçada,,Praça Antônio Goulart,1849.28151772597,Guaratiba,Implantada,5.4
47,0.24462407,Faixa compartilhada na calçada,,Bidirecional,Número 7250,Sim,,Estrada do Mato Alto,5,No bordo esquerdo da pista,,Próximo ao número 7398,244.589170095671,Guaratiba,Implantada,5.4
48,1.71399403,Faixa compartilhada na calçada,,Bidirecional,Próximo a Clínica da Família Agenor de Miranda Araújo Neto,Sim,,Estrada do Mato Alto,5,No bordo direito da pista,,Número 168,1713.75977331172,Campo Grande,Implantada,5.2
49,0.98385403,Faixa compartilhada na calçada,,Bidirecional,Oposto ao número 27705,Sim,,Avenida das Américas,5,Na calçada,,Número 40038,983.73113019846,Guaratiba,Implantada,5.4
50,0.36730033,Faixa compartilhada na calçada,,Bidirecional,Número 5440,Sim,,Estrada da Pedra,5,Na calçada,,Próximo ao Terminal Pingo D'Água 185,367.240546476666,Guaratiba,Implantada,5.4
51,0.40368293,Ciclofaixa,,Bidirecional,Número 361,Sim,,Rua Capitão Lafay,5,Não identificado,,Número 21,403.626729124772,Campo Grande,Implantada,5.2
