fid,ext,tipo_infra,apenas_ano,fluxo_infr,inicio,contabilizar,data_implant,vias,area_plane,local_infr,executor,final,SHAPE__Length,rp,status,cod_rp
126,0.2246693,Faixa compartilhada na calçada,,Bidirecional,Número 12  (Sentido Guaratiba),Sim,,Estrada da Cachamorra,5,Na calçada,,Praça Antônio Goulart,224.639834076272,Campo Grande,Implantada,5.2
127,0.45776156,Ciclofaixa,,Não identificado,Avenida Radial Oeste,Sim,,Avenida Maracanã,2,Na calçada,,Rua Professor Eurico Rabelo,457.765311988055,Tijuca,Implantada,2.2
128,0.30315213,Faixa compartilhada na pista,,Bidirecional,Rua Cordeiro da Graça,Sim,,Avenida Cidade de Lima,1,No bordo esquerdo da pista,,Avenida Professor Pereira Reis,303.157968638481,Centro,Implantada,1.1
129,0.40955715,Ciclofaixa,,Bidirecional,Rua Paula Souza,Sim,,Rua Professor Eurico Rabêlo,2,No bordo esquerdo da pista,,Após a Rua Isidro de Figueiredo,409.560074084355,Tijuca,Implantada,2.2
130,1.39605556,Ciclofaixa,,"Unidirecional, no fluxo dos automóveis",Rua Taperoá,Sim,,Rua Engenheiro Francisco Passos,3,Na calçada,,Avenida Braz de Pina,1396.03235427628,Penha,Implantada,3.5
131,0.06633919,Faixa compartilhada na calçada,,Bidirecional,Rua José Moura da Silva,Sim,,Rua Haroldo Lobo,3,Na calçada,,Estrada do Galeão,66.3402821796576,Ilha do Governador,Implantada,3.7
132,0.82365457,Ciclovia,,Bidirecional,Oposto ao número 535,Sim,,Avenida do Magistério,3,Na calçada,,Número 48,823.672899106773,Ilha do Governador,Implantada,3.7
133,0.12485886,Faixa compartilhada na pista,,Não identificado,Número 12,Sim,,Rua da União,1,No bordo esquerdo da pista,,Número 40,124.861526782561,Centro,Implantada,1.1
134,1.02060744,Faixa compartilhada na calçada,,Bidirecional,Número 132,Sim,,Via B4,1,Na calçada,,Via Binário do porto,1020.62695082916,Centro,Implantada,1.1
135,0.93075,Ciclovia,,Bidirecional,Parque Manuel Bandeira,Sim,,Praia de Olaria,3,Na calçada,,Parque Manuel Bandeira,930.778866072319,Ilha do Governador,Implantada,3.7
136,0.53380226,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 486,Sim,,Rua Caruaru,2,No bordo direito da pista,,Número 30,533.797478526086,Tijuca,Implantada,2.2
137,0.26079735,Ciclofaixa,,Bidirecional,Número 455,Sim,,Rua Professor Eurico Rabêlo,2,No bordo esquerdo da pista,,Número 125,260.799187457805,Tijuca,Implantada,2.2
138,0.21339528,Ciclofaixa,,Não identificado,Rua Professor Eurico Rabelo,Sim,,Avenida Professor Manoel de Abreu,2,Na calçada,,Avenida Radial Oeste,213.396511705329,Tijuca,Implantada,2.2
139,0.64372762,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 167,Sim,,Rua Visconde de Itamarati,2,No meio da pista,,Rua Professor Eurico Rabelo,643.731663013475,Tijuca,Implantada,2.2
140,0.10468668,Ciclofaixa,,"Unidirecional, no fluxo dos automóveis",Número 125,Sim,,Rua Pedro Ernesto,1,No bordo direito da pista,,Rua da Gamboa,104.689079478855,Centro,Implantada,1.1
141,1.12344551,Faixa compartilhada na calçada,,Bidirecional,Rua Dois de Fevereiro,Sim,,Rua Ramiro Magalhães,3,Na calçada,,Rua Doutor Leal,1123.41750837567,Méier,Implantada,3.2
142,0.32878269,Ciclofaixa,,Não identificado,Número 125,Sim,,Rua Professor Eurico Rabêlo,2,Na calçada,,Av: Prof Manoel de Abreu,328.784637563618,Tijuca,Implantada,2.2
143,0.23006889,Faixa compartilhada na calçada,,Não identificado,Praça Santo Cristo,Sim,,Avenida Professor Pereira Reis,1,Na calçada,,Via B4,230.073506847848,Centro,Implantada,1.1
144,0.30139225,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 19,Sim,,Rua Araxá,2,No bordo direito da pista,,Número 551,301.389582053146,Tijuca,Implantada,2.2
145,0.56597718,Faixa compartilhada na calçada,,Não identificado,Praça Marechal Hermes,Sim,,Via D1,1,Na calçada,,Rua General. Luiz Mendes de Morais,565.98731435927,Centro,Implantada,1.1
146,0.69986743,Ciclovia,,Não identificado,Via interna do Condomínio Nova CCPL,Sim,,Condomínio Nova CCPL,3,via interna do condomínio,,Via interna do Condomínio Nova CCPL,699.867074846861,Méier,Implantada,3.2
147,0.27708141,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 06,Sim,,Praça Edmundo Rêgo,2,Não identificado,,Número 05,277.078928732657,Tijuca,Implantada,2.2
148,0.07671524,Faixa compartilhada na calçada,,Não identificado,Praça Marechal Hermes,Sim,,Avenida Cidade de Lima,1,Na calçada,,Via D1,76.7165753217957,Centro,Implantada,1.1
149,0.78174763,Faixa compartilhada na calçada,,Bidirecional,Rua Leopoldo Bulhões Número 378,Sim,,Canal da Cunha,3,Na calçada,,Rua Vinte,781.748305586822,Ramos,Implantada,3.1
150,0.37772424,Faixa compartilhada na calçada,,Bidirecional,Oposto ao número 238,Sim,,Rua Doutor Padilha,3,Na calçada,,"Rua das Oficinas, oposto ao número 84",377.716863839663,Méier,Implantada,3.2
151,0.24161277,Ciclofaixa,,Bidirecional,Oposto ao número 84,Sim,,Rua das Oficinas,3,Na calçada,,"Rua das Oficinas, oposto ao número 171",241.607772650496,Méier,Implantada,3.2
152,0.68711967,Ciclofaixa,,Não identificado,Rua Professor Manoel de Abreu,Sim,,Avenida Radial Oeste,2,Na calçada,,Avenida Maracanã,687.124940594702,Tijuca,Implantada,2.2
153,0.2452168,Faixa compartilhada na calçada,,Bidirecional,Oposto ao número 171,Sim,,Rua das Oficinas,3,Na calçada,,"Rua José dos Reis, oposto ao número 423",245.211460145952,Méier,Implantada,3.2
154,0.64720968,Faixa compartilhada na calçada,,Bidirecional,Número 852,Sim,,Avenida Athos da Silveira Ramos,3,Na calçada,,Avenida Horácio Macedo,647.214744165617,Ilha do Governador,Implantada,3.7
155,0.50115861,Faixa compartilhada na calçada,,Bidirecional,Número 4390 - Canteiro central,Sim,,Avenida Horácio Macedo,3,Na calçada,,Número 3111 - Canteiro central,501.161468523848,Ilha do Governador,Implantada,3.7
156,0.36098695,Faixa compartilhada na calçada,,Bidirecional,Número 662,Sim,,Avenida Horácio Macedo,3,Na calçada,,"Avenida Pedro Calmon, número 429",360.990303800085,Ilha do Governador,Implantada,3.7
157,0.20912459,Ciclofaixa,,Bidirecional,Rua Paulo Emídio Barbosa,Sim,,Rua Pascoal Lemme,3,No bordo direito da pista,,Rua Afrânio Coutinho,209.127130183552,Ilha do Governador,Implantada,3.7
158,0.05579613,Ciclofaixa,,Bidirecional,S/N Centro de Ciências da Saúde,Sim,,Avenida Carlos Chagas Filho,3,No bordo direito da pista,,S/N Escola de Ed. Física e Desportos,55.7964560182485,Ilha do Governador,Implantada,3.7
159,0.16769613,Ciclovia,,Bidirecional,Esquina Rua Paulo Emídio Barbosa,Sim,,Rua Aloísio Teixeira,3,Na calçada,,"Rua Aloísio Teixeira, próximo ao TechnipFMC",167.698182084292,Ilha do Governador,Implantada,3.7
160,0.48476667,Faixa compartilhada na pista,,Bidirecional,Rua César Pernetta,Sim,,Rua Manoel Frota Moreira,3,No bordo direito da pista,,Avenida Carlos Chagas Filho,484.76913539945,Ilha do Governador,Implantada,3.7
161,0.67052729,Ciclovia,,Bidirecional,Rua Dezenove,Sim,,Avenida Carlos Chagas Filho,3,No bordo direito da pista,,Rua Largo Wando de Oliveira,670.53207595472,Ilha do Governador,Implantada,3.7
162,0.49006658,Ciclofaixa,,Bidirecional,Número 200,Sim,,Rua Major Ávila,2,No bordo direito da pista,,Avenida Maracanã,490.069308050173,Tijuca,Implantada,2.2
163,0.44342298,Faixa compartilhada na calçada,,Bidirecional,Número 1.480,Sim,,Rua Leopoldo Bulhões,3,Na calçada,,Rua Maravilha,443.421915305467,Ramos,Implantada,3.1
164,0.04751645,Faixa compartilhada na calçada,,Bidirecional,Número 1.480,Sim,,Rua Leopoldo Bulhões,3,Na calçada,,Rua Maravilha,47.5164001441214,Ramos,Implantada,3.1
165,0.31951104,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Esquina Rua Ipiru,Sim,,Estrada da Bica,3,No bordo direito da pista,,"Estrada do Rio Jequiá, oposto ao número 1710",319.519813637815,Ilha do Governador,Implantada,3.7
166,1.53701346,Faixa compartilhada na calçada,,Bidirecional,Oposto ao número 1710,Sim,,Estrada do Rio Jequiá,3,Na calçada,,Número 46,1537.06024952299,Ilha do Governador,Implantada,3.7
167,1.60948993,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Rua Mareante,Sim,,Avenida Paranapuã,3,No bordo direito da pista,,"Avenida do Magistério, oposto ao número 615",1609.53531119347,Ilha do Governador,Implantada,3.7
168,0.96238346,Faixa compartilhada na calçada,,Bidirecional,Próximo ao CENPES,Sim,,Avenida Carlos Chagas Filho,3,Na calçada,,Rua Dezenove,962.38841635078,Ilha do Governador,Implantada,3.7
169,0.14113496,Ciclofaixa,,Bidirecional,Saída da Avenida Brigadeiro Trompowski,Sim,,Avenida Brigadeiro Trompowski,3,No bordo direito da pista,,"Av. Horácio Macedo, oposto ao número 5323",141.135515668608,Ilha do Governador,Implantada,3.7
170,0.64821699,Faixa compartilhada na calçada,,Bidirecional,Rua Largo Wando de Oliveira,Sim,,Avenida Carlos Chagas Filho,3,No bordo direito da pista,,Oposto a Rua Dezenove,648.22148020512,Ilha do Governador,Implantada,3.7
171,2.43665654,Faixa compartilhada na calçada,,Bidirecional,Próximo ao número 7398,Sim,,Estrada do Mato Alto,5,No bordo direito da pista,,Próximo à Clínica da Família Agenor de Miranda Araújo Neto,2436.32011431458,Guaratiba,Implantada,5.4
172,0.16055502,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Esquina Rua Ipiru,Sim,,Estrada da Bica,3,No bordo direito da pista,,"Estrada do Rio Jequiá, oposto ao número 1710",160.559332960324,Ilha do Governador,Implantada,3.7
173,0.24171347,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Oposto ao número 46,Sim,,Estrada do Rio Jequiá,3,No bordo direito da pista,,Rua Nereida,241.721130891404,Ilha do Governador,Implantada,3.7
174,7.12590826,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Estrada do Dendê,Sim,,Estrada do Rio Jequiá,3,No bordo direito da pista,,Praia de Olaria,7126.14289396723,Ilha do Governador,Implantada,3.7
175,0.19706319,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Rua Mareante,Sim,,Avenida Paranapuã,3,No bordo direito da pista,,"Avenida do Magistério, oposto ao número 615",197.06919058974,Ilha do Governador,Implantada,3.7
176,0.78460563,Ciclofaixa,,Bidirecional,Oposto ao número 423,Sim,,Rua José dos Reis,3,Na calçada,,"Rua Arquias Cordeiro, oposto ao número 1046",784.588610280025,Méier,Implantada,3.2
177,0.39926507,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 467,Sim,,Rua Comendador Martineli,2,No bordo direito da pista,,Número 179,399.260828368439,Tijuca,Implantada,2.2
178,0.24122305,Faixa compartilhada na calçada,,Bidirecional,Oposto ao número 1046,Sim,,Rua Arquias Cordeiro,3,Na calçada,,"Rua Doutor Padilha, oposto ao número 156",241.218116750798,Méier,Implantada,3.2
179,0.20375142,Faixa compartilhada na calçada,,Não identificado,Número 12,Sim,,Praça Varnhagem,2,Na calçada,,Número 179,203.752509846784,Tijuca,Implantada,2.2
180,0.08410517,Faixa compartilhada na calçada,,Bidirecional,Oposto ao número 156,Sim,,Rua Doutor Padilha,3,Na calçada,,"Rua Doutor Padilha, oposto ao número 238",84.1034889722246,Méier,Implantada,3.2
181,0.42818519,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 99,Sim,,Rua Jaceguai,2,No meio da pista,,Número 07,428.187535413066,Tijuca,Implantada,2.2
182,1.03006283,Ciclofaixa,,Bidirecional,Número 200,Sim,,Rua Barão de Mesquita,2,No bordo esquerdo da pista,,Número 20,1030.06935382391,Tijuca,Implantada,2.2
183,0.09654668,Faixa compartilhada na calçada,,Não identificado,Número 278,Sim,,Avenida Paula Sousa,2,Na calçada,,Número 410,96.5474916300028,Tijuca,Implantada,2.2
184,0.49765547,Faixa compartilhada na calçada,,Não identificado,Via D1,Sim,,Rua General Luís Mendes de Morais,1,Na calçada,,Praça  Marechal Hermes,497.664127021652,Centro,Implantada,1.1
185,0.42076483,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Rua Ipiru,Sim,,Praia da Bica,3,No bordo direito da pista,,Estrada da Bica,420.775652288072,Ilha do Governador,Implantada,3.7
186,2.14845439,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 302,Sim,,Praça Jerusalém,3,No bordo direito da pista,,Rua República Árabe da Síria,2148.49507425215,Ilha do Governador,Implantada,3.7
187,3.01229015,Faixa compartilhada na calçada,,Bidirecional,Próximo ao número 7398,Sim,,Estrada do Mato Alto,5,No bordo direito da pista,,Próximo à Clínica da Família Agenor de Miranda Araújo Neto,3011.86354156966,Guaratiba,Implantada,5.4
188,0.42513961,Ciclofaixa,,Bidirecional,Rua Sena,Sim,,Avenida do Magistério,3,No bordo direito da pista,,Número 535,425.150032932589,Ilha do Governador,Implantada,3.7
189,0.63236687,Ciclovia,,Bidirecional,Oposto ao número 48,Sim,,Avenida do Magistério,3,Na calçada,,Rua Francisco Neves,632.379023964269,Ilha do Governador,Implantada,3.7
190,1.18305977,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Estrada Governador Chagas Freitas,Sim,,Rua Francisco Neves,3,No bordo direito da pista,,Rua José Moura da Silva,1183.08012408893,Ilha do Governador,Implantada,3.7
191,0.06779849,Faixa compartilhada na calçada,,Bidirecional,"Rua Guarujá, número 5555",Sim,,Rua Soldado Hamilton de Silva e Costa,5,Na calçada,,Número 04,67.7878706064319,Santa Cruz,Implantada,5.3
192,3.36423357,Faixa compartilhada na calçada,,Bidirecional,Número 93,Sim,,Rua Guarujá,5,No bordo direito da pista,,Número 3355,3363.72867088429,Campo Grande,Implantada,5.2
193,0.19771405,Faixa compartilhada na calçada,,Bidirecional,Rua Luís Renato Caldas,Sim,,Praça Walter Baptist Mors,3,Na calçada,,Rua Manoel Frota Moreira,197.714815032149,Ilha do Governador,Implantada,3.7
194,0.03962532,Faixa compartilhada na calçada,,Bidirecional,Número 183,Sim,,Largo Wanda de Oliveira,3,Na calçada,,Avenida Governador Chagas Filho,39.6256543486666,Ilha do Governador,Implantada,3.7
195,0.38226898,Faixa compartilhada na calçada,,Bidirecional,Avenida Horácio Macedo,Sim,,Rua Milton Santos,3,Na calçada,,"Avenida Athos da Silveira Ramos, número 852",382.271675862346,Ilha do Governador,Implantada,3.7
196,0.63273391,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 421,Sim,,Rua Pereira da Silva,2,No bordo direito da pista,,Número 61,632.751023599854,Laranjeiras,Implantada,2.1
197,0.82032625,Faixa compartilhada na calçada,,Bidirecional,Número 920,Sim,,Rua Jardim Botânico,2,Na calçada,,Número 1060,820.334834768784,Jardim Botânico,Implantada,2.1
198,0.36238191,Faixa compartilhada na calçada,,Bidirecional,Número 240,Sim,,Avenida Padre Leonel Franca,2,Na calçada,,Número 480,362.384254941759,Gávea,Implantada,2.1
199,0.13149996,Ciclofaixa,,Bidirecional,Ciclovia da Lagoa Rodrigo de Freitas,Sim,,Praça José M. Filho,2,No canteiro central,,Praça Santa Margarida Maria,131.502469191142,Lagoa,Implantada,2.1
200,0.24921529,Faixa compartilhada na calçada,,Não identificado,Número 04,Sim,,Rua Farani,2,Na calçada,,Número 260,249.22265138021,Botafogo,Implantada,2.1
202,0.20815481,Ciclofaixa,,Bidirecional,Número 30,Sim,,Avenida Calógeras,1,No bordo esquerdo da pista,,Número 06,208.161764236157,Centro,Implantada,1.1
203,0.48893773,Faixa compartilhada na calçada,,Bidirecional,Esquina da Rua Jardel Jercolis,Sim,,Avenida Almirante Silvio de Noronha,1,Na calçada,,Próximo à Cancela da Marinha,488.95557171071,Centro,Implantada,1.1
204,0.53003738,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 15,Sim,,Rua Ministro Vivieiros de Castro,2,No bordo esquerdo da pista,,Número 163,530.05408681489,Copacabana,Implantada,2.1
205,0.64935612,Ciclofaixa,,Bidirecional,Número 651,Sim,,Rua Santa Luzia,1,No bordo esquerdo da pista,,Largo da Misericórdia,649.378550050849,Centro,Implantada,1.1
206,0.11787324,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 30,Sim,,Rua Joseph Bloch,2,No bordo direito da pista,,Número 40,117.876318751808,Copacabana,Implantada,2.1
207,0.32435801,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 06,Sim,,Rua Maestro Francisco Braga,2,No bordo direito da pista,,Número 353,324.366017228501,Copacabana,Implantada,2.1
208,0.40965982,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Avenida Atlântica,Sim,,Rua Belfort Roxo,2,No bordo direito da pista,,Número 406,409.672889282095,Copacabana,Implantada,2.1
209,0.50583161,Ciclofaixa,,Bidirecional,Número 120,Sim,,Rua Xavier da Silveira,2,No bordo esquerdo da pista,,Número 12,505.844142793001,Copacabana,Implantada,2.1
210,0.34099289,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 02,Sim,,Rua Anita Garibaldi,2,No bordo direito da pista,,Número 90,341.001773513546,Copacabana,Implantada,2.1
211,0.55000854,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 145,Sim,,Rua Constante Ramos,2,No bordo direito da pista,,Número 13,550.022550893435,Copacabana,Implantada,2.1
212,0.2692349,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 4,Sim,,Rua Djalma Ulrich,2,No bordo direito da pista,,Rua Leopoldo Miguez,269.241634126262,Copacabana,Implantada,2.1
213,0.47768839,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 36,Sim,,Rua República do Peru,2,No bordo direito da pista,,Número 444,477.702264512699,Copacabana,Implantada,2.1
214,0.45745793,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 103,Sim,,Rua Hilário Gouveia,2,No bordo direito da pista,,Número 15,457.470736042679,Copacabana,Implantada,2.1
215,0.09738345,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 10,Sim,,Rua Inhangá,2,No bordo direito da pista,,Número 42,97.3863129657385,Copacabana,Implantada,2.1
216,0.44029363,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 4,Sim,,Rua Paula Freitas,2,No bordo direito da pista,,Número 104,440.306245058007,Copacabana,Implantada,2.1
217,0.95454981,Ciclovia,,Bidirecional,Avenida Venceslau Brás,Sim,,Avenida Pasteur,2,No canteiro central,,Rua Ramon Franco,954.582710802652,Urca,Implantada,2.1
218,0.06422054,Ciclofaixa,,Bidirecional,Número 111,Sim,,Rua Rodolfo Dantas,2,No bordo esquerdo da pista,,Número 101,64.2224912847516,Copacabana,Implantada,2.1
219,0.21644633,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 125,Sim,,Rua Marechal Mascarenhas de Morais,2,No bordo direito da pista,,Número 25,216.452707578605,Copacabana,Implantada,2.1
220,0.19640862,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 8,Sim,,Rua Edmundo Lins,2,No bordo direito da pista,,Número 44,196.413879460196,Copacabana,Implantada,2.1
221,0.58327629,Ciclofaixa,,Bidirecional,"Rua Lacerda de Almeida, número 03",Sim,,Rua Real Grandeza,2,No bordo direito da pista,,Número 275,583.290820990808,Botafogo,Implantada,2.1
222,0.41106657,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 388,Sim,,Rua Cinco de Julho,2,No bordo direito da pista,,Número 26,411.076916562195,Copacabana,Implantada,2.1
223,0.84842128,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 2,Sim,,Rua Domingos Ferreira,2,No bordo direito da pista,,Número 242,848.444134755716,Copacabana,Implantada,2.1
224,0.2003181,Faixa compartilhada na pista,,Bidirecional,Número 12,Sim,,Rua Dias da Rocha,2,No bordo direito da pista,,Número 60,200.323285599888,Copacabana,Implantada,2.1
225,0.54445265,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 08,Sim,,Rua Barão de Ipanema,2,No bordo direito da pista,,Número 152,544.466397731776,Copacabana,Implantada,2.1
226,0.1642475,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 81,Sim,,Rua Marquês de Olinda,2,No bordo direito da pista,,Número 45,164.25213226796,Botafogo,Implantada,2.1
227,0.17231218,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 8,Sim,,Rua Professor Alfredo Gomes,2,No bordo direito da pista,,Rua Bambina,172.316978620214,Botafogo,Implantada,2.1
228,0.14763097,Ciclofaixa,2023,Bidirecional,Oposto ao número 10,Sim,01/2023,Rua Teixeira de melo,2,No bordo esquerdo da pista,,Oposto ao número 30,147.63390035831,Ipanema,Implantada,2.1
229,2.15198522,Ciclovia,,Bidirecional,Oposto ao número 22,Sim,,Avenida Vieira Souto,2,No bordo direito da pista,,Oposto ao número 718,2152.02449207649,Ipanema,Implantada,2.1
230,1.29654717,Ciclovia,,Bidirecional,Oposto ao número 12,Sim,,Avenida Delfim Moreira,2,No bordo direito da pista,,Oposto ao número 1188,1296.56055732939,Leblon,Implantada,2.1
231,0.564591,Ciclofaixa,,Bidirecional,Número 156,Sim,,Rua Pompeu Loureiro,2,No bordo esquerdo da pista,,Túnel Major Vaz,564.604543837548,Copacabana,Implantada,2.1
232,0.21682165,Ciclovia,,Bidirecional,Em frente à Escola Municipal Pedro Ernesto,Sim,,Praça Henrique Brito e Cunha,2,No canteiro central,,s/nº - junto à ciclovia do canteiro central da R. Humaitá,216.825891935304,Lagoa,Implantada,2.1
233,0.30493619,Ciclofaixa,,Bidirecional,Número 315,Sim,,Rua Tonelero,2,No bordo esquerdo da pista,,Número 231,304.943937326011,Copacabana,Implantada,2.1
234,0.22837453,Ciclofaixa,,Bidirecional,Início do Túnel pela Rua Pompeu Loureiro,Sim,,Túnel Major Váz,2,No bordo esquerdo da pista,,Final do Túnel na Rua Tonelero,228.380357389505,Copacabana,Implantada,2.1
235,0.25110804,Faixa compartilhada na calçada,,Bidirecional,Avenida Repórter Nestor Moreira,Sim,,Avenida Pasteur,2,Na calçada,,Avenida Venceslau Brás,251.116052024297,Botafogo,Implantada,2.1
236,0.06302175,Faixa compartilhada na calçada,,Bidirecional,Rua Frei Solano,Sim,,Praça Santa Margarida Maria,2,Na calçada,,Rua Dinah Silveira de Queiroz,63.0228275095347,Lagoa,Implantada,2.1
237,0.10433968,Faixa compartilhada na calçada,,Bidirecional,Rua Dinah Silveira de Queiroz,Sim,,Praça Gen. Alcio Souto,2,Na calçada,,Em frente à Escola Municipal Pedro Ernersto,104.341707955661,Lagoa,Implantada,2.1
238,0.30871425,Ciclovia,,Bidirecional,Número 275,Sim,,Rua Humaitá,2,No canteiro central,,Rua Visconde Silva,308.720558964949,Humaitá,Implantada,2.1
239,0.34651261,Faixa compartilhada na calçada,,Bidirecional,Rua Real Grandeza,Sim,,Rua Mena Barreto,2,Na calçada,,Número 99,346.52141378549,Botafogo,Implantada,2.1
240,0.19132983,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 787,Sim,,Rua Sorocaba,2,No bordo direito da pista,,Número 625,191.334757600656,Botafogo,Implantada,2.1
241,0.09922988,Ciclofaixa,,Bidirecional,Número 56,Sim,,Rua da Passagem,2,No bordo esquerdo da pista,,Número 44,99.2326665501762,Botafogo,Implantada,2.1
242,0.51230802,Faixa compartilhada na calçada,,Bidirecional,Número 144,Sim,,Rua General Polidoro,2,Na calçada,,Número 08,512.32260062162,Botafogo,Implantada,2.1
243,0.06711537,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Rua Professor Alvaro Rodrigues,Sim,,Rua Nelson Mandela,2,No bordo esquerdo da pista,,Rua Voluntários da Pátria,67.1173277689832,Botafogo,Implantada,2.1
244,0.34095496,Ciclovia,,Bidirecional,Número 260,Sim,,Rua General Polidoro,2,No bordo esquerdo da pista,,Número 144,340.964134769425,Botafogo,Implantada,2.1
245,1.02047337,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 250,Sim,,Rua Siqueira Campos,2,No bordo esquerdo da pista,,Número 12,1020.50082689557,Copacabana,Implantada,2.1
246,0.33588823,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Rua Real Grandeza,Sim,,Rua General Polidoro,2,No bordo direito da pista,,Número 260,335.896814431867,Botafogo,Implantada,2.1
247,0.25160786,Faixa compartilhada na calçada,,Bidirecional,Início do Túnel - Copacabana,Sim,,Túnel Alaor Prata,2,No bordo esquerdo da pista,,Final do Túnel - Botafogo,251.614145151238,Botafogo,Implantada,2.1
248,0.27612392,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 10,Sim,,Rua Raimundo Corrêa,2,No bordo direito da pista,,Número 74,276.131059862106,Copacabana,Implantada,2.1
249,0.10794642,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 7,Sim,,Praça Serzedelo Correa,2,No bordo direito da pista,,Número 27,107.949547187656,Copacabana,Implantada,2.1
250,0.04357817,Ciclofaixa,,Bidirecional,Rua Figueiredo de Magalhães,Sim,,Praça Vereador Rocha Leão,2,No bordo direito da pista,,Rua Siqueira Campos,43.5793089508543,Copacabana,Implantada,2.1
251,1.00518032,Ciclofaixa,,Bidirecional,Número 37,Sim,,Rua Figueiredo de Magalhães,2,No bordo esquerdo da pista,,Número 950,1005.20694620983,Copacabana,Implantada,2.1
252,0.44202228,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 10,Sim,,Rua Aires de Saldanha,2,No bordo direito da pista,,Número 144,442.033543870898,Copacabana,Implantada,2.1
253,0.11624529,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 12,Sim,,Rua Conrado Niemeyer,2,No bordo direito da pista,,Número 28,116.248677305806,Copacabana,Implantada,2.1
254,0.31421144,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 12,Sim,,Rua Duvivier,2,No bordo direito da pista,,Número 96,314.221215100254,Copacabana,Implantada,2.1
255,0.12966747,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 18,Sim,,Rua Fernando Mendes,2,No bordo direito da pista,,Número 28,129.671363873794,Copacabana,Implantada,2.1
256,0.19664748,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 65,Sim,,Rua Silva Castro,2,No bordo direito da pista,,Número 31,196.652805772983,Copacabana,Implantada,2.1
257,0.2878362,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 291,Sim,,Rua Ronald Carvalho,2,No bordo direito da pista,,Avenida Atlântica,287.845276338331,Copacabana,Implantada,2.1
258,0.15781766,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Rua Belfort Roxo,Sim,,Rua Felipe de Oliveira,2,No bordo direito da pista,,Avenida Princesa Isabel,157.822686815204,Copacabana,Implantada,2.1
259,0.60927838,Faixa compartilhada na pista,,"Unidirecional, no fluxo dos automóveis",Número 169,Sim,,Rua Leopoldo Miguez,2,No bordo direito da pista,,Número 7,609.293511932334,Copacabana,Implantada,2.1
