logradouro,acidente,atropelamento,homicidio_culposo,lesao_corporal,total_delitos
RUA CORONEL TAMARINDO,14,0,0,14,28
RUA DA FEIRA,14,0,0,14,28
RUA DAS LARANJEIRAS,24,0,0,23,47
RUA DIAS DA CRUZ,18,0,0,21,39
RUA DO PRADO,10,11,19,0,40
RUA EDGARD WERNECK,21,0,0,23,44
RUA ESTRADA DA CACUIA,10,0,0,10,20
RUA ESTRADA DO GALEAO,35,0,0,33,68
RUA FELIPE CARDOSO,24,0,0,24,48
RUA FERREIRA DE ANDRADE,0,0,0,10,10
RUA FIGUEIRA DE MELO,14,0,0,15,29
RUA FRANCISCO REAL,13,0,0,13,26
RUA GOIAS,13,0,0,14,27
RUA HADDOCK LOBO,11,0,0,12,23
RUA HUMAITA,14,0,0,15,29
RUA JARDIM BOTANICO,19,0,0,20,39
RUA JOAO VICENTE,21,0,0,20,41
RUA LEOPOLDO BULHOES,15,0,0,17,32
RUA LUIS BELTRAO,10,0,0,10,20
RUA MANOEL VITORINO,12,0,0,15,27
RUA MAXWELL,14,0,0,15,29
RUA MERCURIO,12,0,0,12,24
RUA NILOPOLIS,0,0,10,0,10
RUA OLINDA ELLIS,10,0,0,11,21
RUA PEREIRA NUNES,16,0,0,16,32
RUA REAL GRANDEZA,0,0,0,12,12
RUA RIACHUELO,0,0,0,13,13
RUA RIO DA PRATA,14,0,0,14,28
RUA SAO FRANCISCO XAVIER,31,0,0,31,62
RUA SAO LUIZ GONZAGA,15,0,0,17,32
RUA SENADOR BERNARDO MONTEIRO,10,0,0,0,10
RUA TEODORO DA SILVA,11,0,0,11,22
RUA URANOS,64,0,0,70,134
RUA VD NEGRAO LIMA,0,0,0,10,10
RUA VINTE E QUATRO DE MAIO,17,0,0,18,35
RUA VISCONDE DE NITEROI,23,0,0,22,45
RUA VOLUNTARIOS DA PATRIA,11,0,0,11,22
RUA XAVIER CURADO,11,0,0,12,23
VIA EXPRESSA LINHA AMARELA,22,0,0,22,44
VIA EXPRESSA LINHA VERMELHA,30,0,0,29,59
VIA TRANSOLIMPICA,24,0,0,24,48
VILA SEM TIPO SEM NOME,10,0,0,12,22
