Ano;Logradouro;Delito;Total
2021;Avenida Pastor Martin Luther King Jr.;Atropelamento;14
2021;Avenida Pastor Martin Luther King Jr.;Homicídio culposo - trânsito;10
2021;Avenida Pastor Martin Luther King Jr.;Lesão corporal culposa - trânsito;113
2021;Avenida Paulo De Frontin;Acidente de trânsito;20
2021;Avenida Paulo De Frontin;Lesão corporal culposa - trânsito;20
2021;Avenida Presidente Castelo Branco;Acidente de trânsito;20
2021;Avenida Presidente Castelo Branco;Lesão corporal culposa - trânsito;20
2021;Avenida Presidente Vargas;Acidente de trânsito;50
2021;Avenida Presidente Vargas;Atropelamento;18
2021;Avenida Presidente Vargas;Lesão corporal culposa - trânsito;63
2021;Avenida Rodrigues Alves;Lesão corporal culposa - trânsito;10
2021;Avenida Salvador Allende;Acidente de trânsito;31
2021;Avenida Salvador Allende;Lesão corporal culposa - trânsito;29
2021;Avenida Salvador De Sa;Acidente de trânsito;11
2021;Avenida Salvador De Sa;Lesão corporal culposa - trânsito;11
2021;Avenida Tenente Coronel Muniz De Aragao;Acidente de trânsito;12
2021;Avenida Tenente Coronel Muniz De Aragao;Lesão corporal culposa - trânsito;12
2021;Avenida Trinta E Um De Marco;Acidente de trânsito;15
2021;Avenida Trinta E Um De Marco;Lesão corporal culposa - trânsito;15
2021;Avenida Vicente De Carvalho;Acidente de trânsito;26
2021;Avenida Vicente De Carvalho;Lesão corporal culposa - trânsito;28
2021;Avenida Vieira Souto;Acidente de trânsito;12
2021;Avenida Vieira Souto;Lesão corporal culposa - trânsito;12
2021;Estrada Adhemar Bebiano;Acidente de trânsito;42
2021;Estrada Adhemar Bebiano;Lesão corporal culposa - trânsito;41
2021;Estrada Chrisostomo Pimentel De Oliveira;Acidente de trânsito;18
2021;Estrada Chrisostomo Pimentel De Oliveira;Lesão corporal culposa - trânsito;20
2021;Estrada Da Agua Branca;Acidente de trânsito;37
2021;Estrada Da Agua Branca;Lesão corporal culposa - trânsito;42
2021;Estrada Da Barra Da Tijuca;Acidente de trânsito;11
2021;Estrada Da Barra Da Tijuca;Lesão corporal culposa - trânsito;12
2021;Estrada Da Cachamorra;Acidente de trânsito;20
2021;Estrada Da Cachamorra;Lesão corporal culposa - trânsito;22
2021;Estrada Da Gavea;Acidente de trânsito;21
2021;Estrada Da Gavea;Lesão corporal culposa - trânsito;22
2021;Estrada Da Ilha;Acidente de trânsito;17
2021;Estrada Da Ilha;Lesão corporal culposa - trânsito;17
2021;Estrada Da Matriz;Acidente de trânsito;21
2021;Estrada Da Matriz;Lesão corporal culposa - trânsito;22
2021;Estrada Da Paciencia;Lesão corporal culposa - trânsito;10
2021;Estrada Da Pedra;Acidente de trânsito;35
2021;Estrada Da Pedra;Lesão corporal culposa - trânsito;39
2021;Estrada Da Posse;Acidente de trânsito;27
2021;Estrada Da Posse;Lesão corporal culposa - trânsito;26
2021;Estrada De Jacarepagua;Acidente de trânsito;37
2021;Estrada De Jacarepagua;Lesão corporal culposa - trânsito;39
2021;Estrada De Santa Eugenia;Acidente de trânsito;11
2021;Estrada De Santa Eugenia;Lesão corporal culposa - trânsito;12
2021;Estrada De Sepetiba;Acidente de trânsito;19
2021;Estrada De Sepetiba;Lesão corporal culposa - trânsito;23
2021;Estrada Do Barro Vermelho;Acidente de trânsito;15
2021;Estrada Do Barro Vermelho;Lesão corporal culposa - trânsito;14
2021;Estrada Do Cabucu;Acidente de trânsito;11
2021;Estrada Do Cabucu;Lesão corporal culposa - trânsito;15
